ID,Lat,Lon,Target,B1_month1,B2_month1,B3_month1,B4_month1,B5_month1,B6_month1,B7_month1,B8_month1,B8A_month1,B9_month1,B11_month1,B12_month1,B1_month2,B2_month2,B3_month2,B4_month2,B5_month2,B6_month2,B7_month2,B8_month2,B8A_month2,B9_month2,B11_month2,B12_month2,B1_month3,B2_month3,B3_month3,B4_month3,B5_month3,B6_month3,B7_month3,B8_month3,B8A_month3,B9_month3,B11_month3,B12_month3,B1_month4,B2_month4,B3_month4,B4_month4,B5_month4,B6_month4,B7_month4,B8_month4,B8A_month4,B9_month4,B11_month4,B12_month4,B1_month5,B2_month5,B3_month5,B4_month5,B5_month5,B6_month5,B7_month5,B8_month5,B8A_month5,B9_month5,B11_month5,B12_month5,B1_month6,B2_month6,B3_month6,B4_month6,B5_month6,B6_month6,B7_month6,B8_month6,B8A_month6,B9_month6,B11_month6,B12_month6,B1_month7,B2_month7,B3_month7,B4_month7,B5_month7,B6_month7,B7_month7,B8_month7,B8A_month7,B9_month7,B11_month7,B12_month7,B1_month8,B2_month8,B3_month8,B4_month8,B5_month8,B6_month8,B7_month8,B8_month8,B8A_month8,B9_month8,B11_month8,B12_month8,B1_month9,B2_month9,B3_month9,B4_month9,B5_month9,B6_month9,B7_month9,B8_month9,B8A_month9,B9_month9,B11_month9,B12_month9,B1_month10,B2_month10,B3_month10,B4_month10,B5_month10,B6_month10,B7_month10,B8_month10,B8A_month10,B9_month10,B11_month10,B12_month10,B1_month11,B2_month11,B3_month11,B4_month11,B5_month11,B6_month11,B7_month11,B8_month11,B8A_month11,B9_month11,B11_month11,B12_month11,B1_month12,B2_month12,B3_month12,B4_month12,B5_month12,B6_month12,B7_month12,B8_month12,B8A_month12,B9_month12,B11_month12,B12_month12
ID_60K7SKOGNGNP,34.2977152,70.41296804,1,485.85714285714283,495.7142857142857,881.2857142857143,749.7142857142857,1615.142857142857,2718.0,3100.1428571428573,3438.714285714286,3150.714285714286,3265.5714285714284,2444.285714285714,1871.2857142857142,701.1111111111111,958.8888888888889,1496.0,1735.5555555555557,2364.3333333333335,3042.5555555555557,3284.222222222222,3298.6666666666665,3440.6666666666665,3563.4444444444443,3365.5555555555557,2666.6666666666665,1078.9166666666667,1378.8333333333333,1906.3333333333333,2222.4166666666665,2587.8333333333335,2801.6666666666665,2950.0833333333335,2911.5,3032.5,3377.4166666666665,3679.0833333333335,3289.8333333333335,1108.6666666666667,1339.3333333333333,1931.3333333333333,2002.888888888889,2635.3333333333335,3282.777777777778,3481.777777777778,3468.8888888888887,3577.6666666666665,3557.0,3786.222222222222,3235.0,865.2222222222222,1007.0,1600.4444444444443,1625.2222222222222,2264.777777777778,2985.4444444444443,3210.8888888888887,3217.3333333333335,3254.3333333333335,3607.1111111111113,3336.0,2718.6666666666665,917.2,1184.8,1745.4,1803.2,2322.6,3178.0,3460.4,3468.4,3542.6,3407.0,3330.4,2629.0,929.125,1084.875,1603.875,1769.0,2362.125,2844.75,3024.25,3230.375,3116.375,2980.75,3303.375,2760.25,1030.875,1369.25,1784.0,2092.25,2388.5,2487.0,2588.5,2707.5,2668.75,2716.875,3466.125,3271.75,837.75,904.5,1225.875,1491.0,1785.125,1869.625,1941.375,1874.375,2019.625,2421.5,2767.125,2612.625,503.1666666666667,543.5,895.3333333333334,1049.0,1314.0,1463.1666666666667,1528.6666666666667,1527.8333333333333,1586.3333333333333,1698.8333333333333,2024.8333333333333,1839.1666666666667,856.2,1063.4,1547.4,1595.2,1981.2,2462.2,2712.0,2897.8,2732.0,2497.8,2902.4,2507.8,752.5,671.6666666666666,1138.1666666666667,1022.6666666666666,1667.6666666666667,2724.1666666666665,3134.5,3122.1666666666665,3156.3333333333335,2957.8333333333335,2561.1666666666665,1965.6666666666667
ID_YOP9PVE96EMA,34.28677609,70.3345845,0,961.4285714285714,1078.4285714285713,1566.4285714285713,1812.4285714285713,2267.4285714285716,2784.4285714285716,2937.5714285714284,3027.5714285714284,3032.285714285714,3179.0,3452.0,2925.4285714285716,1043.2222222222222,1163.3333333333333,1725.111111111111,2294.6666666666665,2586.3333333333335,2653.1111111111113,2799.3333333333335,2885.1111111111113,2942.4444444444443,3192.222222222222,3783.1111111111113,3258.6666666666665,1201.5833333333333,1437.6666666666667,2060.1666666666665,2717.1666666666665,2905.5,2949.5833333333335,3065.25,3185.0,3191.8333333333335,3384.0,4084.5833333333335,3576.8333333333335,1306.7777777777778,1510.2222222222222,2096.0,2670.8888888888887,2862.3333333333335,2890.4444444444443,3005.777777777778,3053.777777777778,3126.0,3315.5555555555557,4101.666666666667,3661.6666666666665,1338.7777777777778,1554.6666666666667,2151.1111111111113,2746.6666666666665,3155.0,3177.8888888888887,3312.3333333333335,3160.6666666666665,3385.777777777778,3517.6666666666665,4319.0,3897.0,1225.6,1379.6,1908.8,2449.2,2795.0,2799.8,2878.0,2766.8,3027.0,3236.0,3955.8,3526.2,1170.75,1302.0,1820.0,2287.875,2551.25,2618.625,2737.25,2708.125,2786.125,3081.0,3705.875,3413.625,1164.125,1336.25,1796.0,2204.75,2483.0,2585.375,2679.5,2679.625,2741.5,2925.5,3682.375,3408.375,1033.25,1216.75,1649.25,2083.0,2350.625,2442.125,2522.875,2572.375,2574.5,2771.625,3505.625,3285.375,648.3333333333334,920.0,1323.1666666666667,1653.1666666666667,1870.5,1954.8333333333333,2046.8333333333333,2155.1666666666665,2095.1666666666665,2183.6666666666665,2730.1666666666665,2404.8333333333335,991.0,1193.6,1687.4,2003.6,2386.8,2654.6,2733.0,2814.2,2814.4,2975.6,3479.2,3161.2,954.7142857142857,1159.142857142857,1645.0,1930.4285714285713,2319.4285714285716,2740.714285714286,2896.285714285714,2947.8571428571427,2961.4285714285716,3105.4285714285716,3449.1428571428573,2960.285714285714
ID_PYCR05IA2YVN,34.29612479,70.39554111,1,1416.142857142857,854.0,1261.4285714285713,1280.857142857143,1898.142857142857,2533.8571428571427,2761.1428571428573,2722.1428571428573,2802.0,2952.8571428571427,2897.0,2468.1428571428573,1530.111111111111,1062.888888888889,1504.5555555555557,1683.5555555555557,2344.777777777778,2812.1111111111113,3004.4444444444443,3008.5555555555557,3080.777777777778,3141.5555555555557,3416.1111111111113,2944.1111111111113,1621.0,1111.6666666666667,1639.0,1872.6666666666667,2501.5833333333335,2718.1666666666665,2837.25,2835.8333333333335,2886.0,3051.3333333333335,3547.0,3281.9166666666665,1582.2222222222222,1274.0,1688.2222222222222,1952.2222222222222,2488.5555555555557,2772.222222222222,2904.8888888888887,2878.6666666666665,3011.4444444444443,3055.4444444444443,3548.3333333333335,3203.777777777778,1512.7777777777778,1144.6666666666667,1615.0,1806.7777777777778,2555.222222222222,3056.222222222222,3305.4444444444443,3173.222222222222,3411.5555555555557,3304.1111111111113,3503.777777777778,3006.3333333333335,1390.8,1154.8,1604.6,1909.2,2325.2,2528.0,2669.6,2614.6,2725.2,2839.2,3256.4,2802.0,1308.125,1143.25,1593.5,1772.75,2109.625,2444.0,2662.875,2830.75,2691.75,2790.625,3120.75,2775.0,1307.125,1363.75,1807.25,2071.75,2336.875,2427.75,2529.0,2493.0,2604.25,2660.25,3424.0,3270.75,1224.875,1255.125,1669.125,1999.625,2303.125,2375.625,2463.75,2430.75,2521.375,2641.0,3360.25,3209.75,736.8333333333334,616.8333333333334,910.3333333333334,1120.6666666666667,1400.8333333333333,1404.8333333333333,1504.0,1393.3333333333333,1532.8333333333333,1746.6666666666667,2199.0,2081.8333333333335,1362.6,1256.2,1663.4,1861.0,2176.6,2376.4,2488.2,2460.2,2498.4,2676.2,3209.0,3029.6,1355.5,1204.8333333333333,1619.8333333333333,1788.5,2132.5,2506.5,2633.3333333333335,2641.6666666666665,2713.1666666666665,2808.5,3186.0,2837.0
ID_J3GNSGW4EM5S,34.29573995,70.36658904,0,1245.5714285714287,1462.0,1938.857142857143,2253.0,2586.285714285714,2784.714285714286,2887.0,2893.8571428571427,2946.285714285714,2960.4285714285716,3467.1428571428573,3022.8571428571427,1330.111111111111,1570.4444444444443,2092.3333333333335,2567.3333333333335,2845.6666666666665,2830.4444444444443,2915.5555555555557,2914.0,2989.5555555555557,3043.6666666666665,3721.6666666666665,3256.8888888888887,1367.8333333333333,1619.0,2187.9166666666665,2734.0,2998.5,2975.0,3068.9166666666665,3025.8333333333335,3136.0833333333335,3170.1666666666665,3878.8333333333335,3401.1666666666665,1449.2222222222222,1695.111111111111,2253.5555555555557,2763.3333333333335,2997.8888888888887,2934.8888888888887,3030.222222222222,2971.777777777778,3091.1111111111113,3119.777777777778,3897.1111111111113,3446.3333333333335,1421.7777777777778,1702.888888888889,2264.0,2744.0,2981.3333333333335,2928.1111111111113,3002.4444444444443,2945.1111111111113,3060.6666666666665,3075.5555555555557,3845.8888888888887,3412.8888888888887,1290.8,1521.6,2083.2,2546.4,2796.4,2744.8,2812.6,2728.8,2879.6,2854.6,3665.4,3214.0,1201.375,1498.75,2005.75,2393.375,2586.625,2596.125,2662.75,2756.25,2681.125,2683.875,3448.5,3160.875,1133.375,1433.75,1853.0,2253.625,2455.875,2489.75,2561.0,2589.75,2606.875,2571.0,3433.375,3163.5,1063.0,1348.0,1825.25,2212.0,2416.375,2453.125,2519.375,2572.625,2594.25,2548.0,3398.75,3123.125,945.8333333333334,1279.5,1761.8333333333333,2086.5,2317.3333333333335,2333.6666666666665,2433.1666666666665,2474.0,2474.1666666666665,2389.1666666666665,3148.8333333333335,2780.8333333333335,1191.0,1474.0,1925.2,2266.6,2558.4,2619.4,2709.2,2736.2,2717.2,2708.2,3455.0,3134.4,1256.6666666666667,1508.6666666666667,1972.0,2329.0,2594.3333333333335,2710.8333333333335,2805.6666666666665,2821.6666666666665,2847.6666666666665,2832.8333333333335,3473.3333333333335,3084.1666666666665
ID_MBTQ2UE1BPOL,34.23918434,70.29861094,1,274.0,139.33333333333334,515.3333333333334,273.0,916.0,3322.0,4355.0,4525.0,4471.666666666667,4186.0,1727.6666666666667,954.3333333333334,379.0,502.2,991.2,1153.6,1650.6,2566.6,2989.8,3251.6,3296.8,3315.6,2339.0,1626.6,935.3333333333334,1322.6666666666667,1797.3333333333333,2161.8333333333335,2306.0,2549.5,2710.1666666666665,2861.6666666666665,2839.1666666666665,2902.3333333333335,3202.6666666666665,2765.1666666666665,498.0,445.75,933.0,718.25,1316.5,3156.25,3759.0,3689.5,3860.5,3558.25,2524.75,1653.0,307.25,286.5,815.75,564.0,1256.75,3063.75,3656.0,3685.5,3875.0,3625.75,2375.0,1445.5,568.5,701.0,1252.0,1351.0,1844.5,2531.0,2708.0,2796.0,2913.5,2857.5,2863.0,2146.5,920.0,1360.5,1779.0,2148.0,2300.75,2380.25,2530.25,2664.75,2634.5,2521.5,3271.25,2953.0,852.4,1071.8,1403.6,1640.8,1809.8,1846.4,1948.2,2010.8,2065.6,2084.4,2687.2,2480.0,678.75,766.5,1076.5,1199.25,1411.5,1700.25,1806.0,1930.0,1894.25,1956.75,2157.75,1840.25,335.25,330.5,694.25,561.0,1134.0,2283.75,2499.5,2637.75,2598.5,2121.5,1803.75,1188.25,511.3333333333333,275.3333333333333,669.3333333333334,461.0,1162.3333333333333,2655.6666666666665,3005.6666666666665,3151.0,3065.6666666666665,2723.6666666666665,1760.0,1103.0,383.0,221.0,511.0,368.6666666666667,1001.0,3032.0,3927.0,4052.3333333333335,4003.6666666666665,3603.3333333333335,1744.6666666666667,1043.6666666666667
ID_TSJHODO5F07C,34.29258498,70.37183501,1,360.7142857142857,280.2857142857143,590.7142857142857,452.85714285714283,1001.4285714285714,2696.0,3438.4285714285716,3471.285714285714,3531.1428571428573,3605.0,1795.4285714285713,1077.857142857143,427.55555555555554,937.7777777777778,1423.3333333333333,1785.111111111111,2108.0,2667.1111111111113,2941.222222222222,3133.4444444444443,3268.1111111111113,3094.222222222222,2974.222222222222,2249.3333333333335,1081.1666666666667,2030.5,2834.4166666666665,3549.6666666666665,3780.75,3982.0833333333335,4199.916666666667,4426.333333333333,4339.916666666667,3778.8333333333335,4653.5,3891.3333333333335,1248.2222222222222,2139.3333333333335,2805.1111111111113,3442.777777777778,3732.6666666666665,3786.777777777778,3950.3333333333335,3920.6666666666665,4120.666666666667,3693.6666666666665,4593.555555555556,3968.5555555555557,1195.4444444444443,2158.8888888888887,2836.8888888888887,3368.8888888888887,3647.6666666666665,3692.3333333333335,3806.777777777778,3790.6666666666665,3935.222222222222,3635.222222222222,4406.555555555556,3859.1111111111113,1166.2,1882.4,2565.2,3023.0,3359.8,3369.4,3481.8,3441.4,3618.2,3354.2,4151.6,3631.2,1008.25,1360.25,1829.875,2187.75,2317.5,2372.5,2491.875,2583.375,2577.25,2697.0,3251.125,2972.125,1093.0,1370.25,1756.25,2024.25,2216.125,2261.5,2348.25,2339.625,2422.125,2584.625,3177.75,2985.0,923.125,1213.75,1607.875,1886.75,2052.875,2127.375,2232.875,2196.375,2275.375,2402.625,3016.25,2850.125,286.6666666666667,525.6666666666666,856.5,1073.8333333333333,1179.8333333333333,1198.6666666666667,1289.1666666666667,1318.3333333333333,1314.1666666666667,1353.8333333333333,1830.1666666666667,1681.5,857.8,1101.2,1509.2,1658.8,1864.6,2067.0,2113.2,2214.4,2214.4,2394.6,2651.6,2358.2,516.6666666666666,722.6666666666666,1148.3333333333333,1101.6666666666667,1617.1666666666667,2659.8333333333335,2979.6666666666665,3050.5,3040.0,3089.8333333333335,2579.6666666666665,1936.1666666666667
ID_96J5XW6OWECO,34.28664526,70.36941253,1,474.7142857142857,857.5714285714286,1250.857142857143,1253.2857142857142,1807.4285714285713,2890.4285714285716,3355.0,3381.714285714286,3396.8571428571427,3576.5714285714284,2678.1428571428573,2114.5714285714284,598.7777777777778,786.7777777777778,1203.5555555555557,1276.888888888889,2137.1111111111113,3000.1111111111113,3305.0,3439.1111111111113,3417.222222222222,3305.777777777778,3176.222222222222,2554.8888888888887,913.9166666666666,963.3333333333334,1533.8333333333333,1645.0,2497.75,3194.0833333333335,3464.0833333333335,3568.8333333333335,3610.0833333333335,3436.3333333333335,3730.1666666666665,3112.1666666666665,943.0,1257.25,1702.75,1824.25,2611.5,3175.75,3391.375,3421.0,3544.125,3551.375,3811.5,3300.0,1068.5555555555557,1242.888888888889,1755.5555555555557,1987.111111111111,2707.222222222222,3081.1111111111113,3259.3333333333335,3209.777777777778,3352.6666666666665,3399.222222222222,3841.8888888888887,3402.0,1063.2,1237.6,1806.4,2073.2,2545.6,2779.8,2924.4,2930.8,3055.4,3064.0,3683.8,3273.4,1085.0,1216.25,1735.25,2049.25,2397.375,2575.125,2683.375,2811.125,2746.625,2769.125,3408.625,3212.5,1028.125,1506.75,1981.75,2332.625,2423.25,2462.5,2565.625,2734.75,2649.375,2571.5,3458.0,3281.0,833.0,1270.75,1711.5,2044.625,2160.625,2171.375,2294.125,2449.5,2364.75,2284.875,3174.5,3030.0,396.1666666666667,900.1666666666666,1283.6666666666667,1547.3333333333333,1642.8333333333333,1679.1666666666667,1782.3333333333333,1918.8333333333333,1803.0,1671.3333333333333,2380.0,2111.1666666666665,921.6,1432.8,1933.2,2185.8,2407.8,2538.4,2691.4,2769.0,2695.4,2708.4,3339.6,3104.0,767.1666666666666,1138.6666666666667,1622.8333333333333,1735.6666666666667,2187.5,2861.3333333333335,3017.5,2953.0,3076.6666666666665,3104.0,3068.3333333333335,2588.5
ID_ISQVJW9ATJQ3,34.2489507,70.31293549,1,589.4285714285714,274.85714285714283,550.4285714285714,345.42857142857144,809.4285714285714,3102.714285714286,4270.142857142857,4277.857142857143,4405.142857142857,3609.4285714285716,1642.857142857143,929.8571428571429,605.8888888888889,504.0,871.7777777777778,952.1111111111111,1471.2222222222222,2352.1111111111113,2727.222222222222,3087.777777777778,3121.4444444444443,3558.0,2178.0,1536.0,898.8333333333334,1032.0,1465.0833333333333,1642.8333333333333,1985.25,2394.75,2559.1666666666665,2652.5,2664.0,3009.4166666666665,2957.5,2450.75,710.4444444444445,378.44444444444446,836.0,522.6666666666666,1092.0,3547.1111111111113,4443.777777777777,4325.777777777777,4582.222222222223,3586.4444444444443,2349.6666666666665,1394.2222222222222,655.0,619.6666666666666,1048.4444444444443,1099.0,1587.3333333333333,2746.777777777778,3142.1111111111113,3284.6666666666665,3400.4444444444443,3411.8888888888887,2717.222222222222,1774.2222222222222,646.4,866.0,1277.2,1494.6,1776.8,1909.0,1991.2,2048.4,2036.8,2568.2,2549.0,2090.0,509.25,551.375,978.75,768.875,1326.25,2986.625,3286.625,3249.5,3287.875,2726.5,2036.25,1291.0,618.875,604.125,987.375,790.25,1417.125,2720.875,3022.25,3030.5,3160.625,2361.5,2007.625,1354.875,661.625,963.875,1265.625,1494.375,1554.625,1690.375,1786.75,1885.25,1872.0,1861.875,2392.75,2204.375,252.16666666666666,371.8333333333333,659.8333333333334,805.6666666666666,942.5,1016.6666666666666,1184.3333333333333,1230.3333333333333,1207.3333333333333,1482.5,1573.6666666666667,1319.3333333333333,671.6,712.4,1079.4,1087.8,1353.6,2047.2,2216.4,2312.4,2296.0,2243.6,2134.2,1675.8,555.3333333333334,292.6666666666667,643.0,473.3333333333333,917.3333333333334,2915.3333333333335,3637.5,3674.5,3759.0,3141.5,1673.1666666666667,994.6666666666666
ID_IU71LWOGFPFR,34.28579703,70.3757329,1,739.1428571428571,342.2857142857143,695.1428571428571,540.5714285714286,1485.4285714285713,2922.8571428571427,3471.8571428571427,3854.0,3608.8571428571427,3552.1428571428573,2210.8571428571427,1591.5714285714287,907.1111111111111,952.2222222222222,1419.4444444444443,1790.7777777777778,2217.222222222222,2688.222222222222,2917.5555555555557,2712.4444444444443,3083.0,3143.5555555555557,3209.0,2690.0,1083.5833333333333,1113.75,1678.3333333333333,1819.0,2337.8333333333335,2993.4166666666665,3198.5,3119.0,3254.6666666666665,3128.5833333333335,3371.1666666666665,2842.4166666666665,979.2222222222222,567.7777777777778,1002.1111111111111,799.1111111111111,1899.2222222222222,3200.6666666666665,3600.777777777778,3858.6666666666665,3767.5555555555557,3484.1111111111113,2914.777777777778,2236.4444444444443,1077.888888888889,1378.888888888889,1932.3333333333333,2289.1111111111113,2630.1111111111113,3158.777777777778,3445.8888888888887,3597.222222222222,3597.222222222222,3435.6666666666665,3652.8888888888887,2925.8888888888887,1190.8,1352.8,1992.0,2377.2,2623.4,2800.8,2967.8,3016.0,3082.8,3064.6,3553.4,3016.4,1121.625,1374.25,1869.875,2080.75,2258.75,2401.125,2550.375,2642.125,2608.625,2676.125,3272.25,3072.0,1039.0,1253.75,1640.25,1895.125,2001.25,2157.875,2266.375,2304.0,2327.625,2454.25,2977.875,2761.125,895.375,887.0,1187.25,1407.375,1642.125,1762.375,1858.75,1785.375,1893.875,2164.0,2559.25,2451.375,431.8333333333333,337.5,617.3333333333334,700.5,993.6666666666666,1320.8333333333333,1426.3333333333333,1390.5,1448.5,1575.5,1629.0,1389.6666666666667,895.2,659.4,993.2,978.0,1569.0,2288.8,2536.4,2675.0,2579.2,2697.8,2424.6,1875.8,867.1428571428571,556.5714285714286,957.0,827.4285714285714,1476.0,2764.714285714286,3154.5714285714284,3349.0,3274.1428571428573,3133.285714285714,2287.8571428571427,1687.142857142857
ID_2HCP6WLQIRQ6,34.08948823,70.69684896,0,1314.6666666666667,1667.3333333333333,2290.0,2664.3333333333335,3026.6666666666665,3220.0,3329.0,3312.3333333333335,3338.0,3186.3333333333335,3967.6666666666665,3543.0,1406.0,1757.6,2396.4,2883.2,3211.2,3271.4,3356.2,3295.6,3419.8,3302.4,4103.8,3657.8,1457.0,1825.0,2458.6666666666665,2954.3333333333335,3229.1666666666665,3274.3333333333335,3362.5,3323.3333333333335,3420.3333333333335,3342.6666666666665,4195.833333333333,3788.8333333333335,1435.5,1816.5,2446.0,2988.5,3281.5,3225.25,3335.0,3255.0,3435.25,3253.5,4222.25,3845.0,1433.75,1889.5,2523.0,3028.25,3304.5,3265.5,3424.25,3285.0,3427.0,3234.5,4221.25,3830.75,1323.5,1761.0,2433.0,2940.0,3225.5,3271.5,3337.5,3212.0,3431.5,3087.0,4138.0,3669.0,1167.25,1764.5,2452.25,2904.75,3163.0,3184.0,3301.75,3334.0,3308.75,2985.75,4080.0,3795.25,1133.0,1614.0,2176.8,2681.2,2933.2,3005.0,3096.0,3100.0,3161.8,2862.0,4034.4,3792.6,1023.25,1605.0,2209.5,2741.75,3011.25,3130.25,3219.0,3227.0,3265.0,2796.25,4117.75,3831.25,983.75,1616.25,2243.25,2671.75,2946.0,3023.25,3108.25,3105.25,3109.0,2659.75,3793.0,3411.25,1142.0,1681.3333333333333,2314.6666666666665,2742.3333333333335,3054.0,3096.6666666666665,3220.6666666666665,3185.3333333333335,3190.3333333333335,2878.6666666666665,3942.6666666666665,3649.6666666666665,1293.5,1717.0,2371.75,2743.0,3126.25,3259.75,3365.75,3312.0,3368.25,3157.5,4045.0,3659.25
