ID,Lat,Lon,Target,vhAsc_month1,vhDesc_month1,VVAscDesc_month1,vhAsc_month2,vhDesc_month2,VVAscDesc_month2,vhAsc_month3,vhDesc_month3,VVAscDesc_month3,vhAsc_month4,vhDesc_month4,VVAscDesc_month4,vhAsc_month5,vhDesc_month5,VVAscDesc_month5,vhAsc_month6,vhDesc_month6,VVAscDesc_month6,vhAsc_month7,vhDesc_month7,VVAscDesc_month7,vhAsc_month8,vhDesc_month8,VVAscDesc_month8,vhAsc_month9,vhDesc_month9,VVAscDesc_month9,vhAsc_month10,vhDesc_month10,VVAscDesc_month10,vhAsc_month11,vhDesc_month11,VVAscDesc_month11,vhAsc_month12,vhDesc_month12,VVAscDesc_month12
ID_SJ098E7S2SY9,34.16249093,70.76366828,0,-18.92399064754583,-17.62386218519035,-9.88034038743785,-18.48915573881833,-16.778992125186097,-9.533322132493252,-15.901832185667379,-15.936762496299842,-9.921528636915104,-16.52813467837887,-17.539090930750646,-9.22872124627312,-17.564827887118476,-18.304124711550422,-10.329227297671382,-17.15605365852133,-14.982711978748744,-9.524309864588616,-18.0132133928688,-15.787255617557667,-8.991946010761279,-18.595574884641092,-14.473481137883175,-9.847940651561528,-16.67507987475196,-16.008421682930496,-10.522840642572756,-18.369433368865998,-17.730918765050564,-11.549441359508258,-17.61522533879834,-18.85372617465463,-11.647461446589313,-17.798752214694407,-16.87900721090079,-10.59348800902602
ID_I5DS1NLN2WM8,34.25143465,70.35956155,1,-19.494862599706305,-19.084230885076714,-12.730769532097197,-19.5598414807158,-20.418708796878644,-12.778662518722946,-23.32768288236786,-21.134912138837453,-13.701902326758905,-22.097895036699853,-20.98139700382631,-13.579111848960514,-23.95475970470653,-22.281715278972758,-14.334550408054946,-22.51543362023047,-23.23635768323114,-13.90354887114418,-20.36271812197008,-23.226433563100287,-14.622869275418683,-22.403481988013343,-25.719357010577077,-14.685848239750168,-23.1127855479671,-21.115565304973323,-14.77402743428569,-21.909123214835116,-19.82393408706518,-10.085782605120432,-20.587649715365373,-22.753590409203696,-13.151097233894104,-21.614416992185237,-22.63158957412208,-12.493501348525436
ID_JBRO8Z453K1J,34.26577617,70.34610331,1,-20.151070098857808,-16.34398622305481,-8.557335214985773,-16.926785801172016,-15.967698927628419,-8.279102973511336,-15.096295729959172,-13.813643140387459,-7.8199124171998475,-16.7510753024975,-15.537018238909116,-8.972456845606558,-16.572320902566066,-15.79524787464501,-10.255016869533819,-20.10791939602066,-13.04277789775362,-8.509681003361882,-20.092114311116347,-16.477654804250545,-9.852123339890548,-18.933287235061044,-17.93446304315993,-8.902166265060211,-16.14609133476484,-16.699024369063785,-8.727851493686059,-17.861159913737914,-18.233006832712725,-8.637953264796295,-20.062649497629106,-17.694579667443445,-10.414611476279175,-17.237159090657173,-14.615560141700016,-10.68121892411164
ID_GYHRWRLEY9W3,34.2926256,70.34585617,0,-18.039290609057854,-18.053481429450887,-12.43304755958715,-16.733909861656198,-15.6600349051416,-8.660097974095237,-16.336673580861323,-16.969590776811707,-8.926094943886843,-16.14236430368251,-18.762295405118763,-8.260790103070642,-16.413941929698517,-17.70936407684169,-9.476257877308653,-15.065595595889368,-17.062095109895846,-8.58733412191654,-15.330492874798038,-18.731807384637158,-9.424736260512324,-15.987510125532468,-17.24703774516514,-9.21568715205422,-14.874131289495693,-19.515641390543543,-9.747219036108174,-17.54913283392801,-17.602182518177447,-9.565656069991721,-20.068131283219607,-19.25973039570809,-8.749840472744657,-16.530428306295494,-19.27552088758444,-10.806340711313544
ID_LLW4ZVLCTH7Y,34.30324556,70.3669421,0,-25.032475633562097,-26.40058876953686,-16.995246099823262,-24.761323005141346,-25.498737116333107,-16.809970005487525,-27.66803323991026,-26.439533265576088,-17.821828525561767,-23.83464875606117,-26.492650485213137,-17.151087827810137,-24.955105155306356,-29.55209140601302,-17.347546974029896,-24.889806263000434,-26.3556133153992,-16.944150041299785,-25.404711391640376,-25.120249969729066,-17.74966428913553,-28.01926947582059,-28.20632388999431,-17.201246723895032,-25.229392499945106,-27.101173259067075,-16.02197357893851,-26.331948958399085,-25.19303748843345,-15.623289855753018,-26.566092938884232,-26.58921266225484,-16.39211172765646,-24.567040923523336,-27.440778900687707,-16.99961487340338
ID_OVT4MUGA4Z22,34.11910992,70.75303683,0,-24.11406085763499,-12.926724188719152,-8.227291632171811,-22.058759596240083,-12.811639911210946,-9.853491682977698,-21.01781516467197,-10.615011903867492,-8.858032656719802,-23.10118269046317,-11.763473644532823,-8.715235768730444,-23.657793387126073,-13.277970237141929,-9.679460475056482,-20.494490693356468,-12.000858311221036,-8.812659414733641,-20.586201168536157,-13.235741369004208,-10.047189076849419,-23.92552741347435,-11.05974580638951,-11.298690377102904,-22.460828954852907,-11.743302580116891,-9.681497054579797,-22.851358350983833,-15.161697799268703,-8.654555843188927,-21.17391340292935,-14.265855899100393,-9.451211376328406,-22.20829913837151,-11.550355103086705,-8.507829615739182
ID_Z8Q7G6Y40XAW,34.08759212,70.69004889,1,-18.517080759224875,-21.361923051770155,-9.780705212272487,-16.569199699353902,-20.647788546584987,-9.675740365557768,-18.09726508297783,-18.18468959554199,-10.05250802464931,-16.23068189814615,-18.426067479586653,-10.381471394649557,-14.635888594873904,-18.93572910352235,-9.69120960662877,-17.34033502744463,-21.82209520701405,-9.2362902361854,-19.65116146137143,-17.79854000117414,-9.549935146526858,-18.00480913374746,-23.166964454014636,-10.662185939730247,-19.474132694656205,-22.708775752371565,-10.496581156418577,-19.23790959261078,-17.108957896599218,-9.64315723915011,-20.823116158890834,-20.202536131947056,-10.245581238283956,-18.511226150260065,-19.37746063811955,-8.839843254207507
ID_TMPFO6LITM9U,34.290535,70.42178679,1,-25.536861163483415,-25.322931692674945,-15.209734596350636,-24.03779678165191,-27.222895425574592,-14.873685946956028,-24.60653327498222,-24.052359509877615,-14.478280577229292,-25.715566175104847,-24.261608654074184,-14.213217340886747,-25.31636175936345,-25.088157990986552,-16.910647056865603,-24.563658748082226,-26.264974884783136,-16.11843516761386,-27.224217536227496,-28.065129578340986,-16.52370124126778,-26.637309124708565,-26.135068243700157,-15.207092961125724,-25.49901829081577,-27.798058337904457,-17.12314241929366,-25.480699149213347,-26.051367800619396,-11.989249902116935,-26.98472884472448,-26.92037473417063,-15.945803138597274,-27.002366544453697,-27.265229293573327,-16.36552698325766
ID_A14I5NDAO8F7,34.29785995,70.37267792,0,-17.918854534675457,-16.93649159289804,-12.908444929561092,-15.211777461268909,-17.95146453946671,-11.108321635151876,-17.454430693857454,-16.270989187250002,-9.504318166044648,-14.557218646940921,-19.60934051104191,-11.920299721039441,-15.855858359437708,-16.522389035762536,-10.583023155784865,-18.33697883499095,-17.19870380373986,-10.913598702123654,-17.27940017335127,-18.649469418259496,-12.865755813034772,-19.572423822908124,-21.012831365110603,-12.290250557158934,-17.423847418817488,-18.83089383749344,-11.989006476465107,-16.96304965674124,-16.2060358339459,-11.833136835879191,-15.791281164488193,-18.17436500973426,-11.48208206536581,-17.838706188624617,-17.723554837174998,-12.09627294152141
ID_Z79AVIRGE3E1,34.06032782,70.67200584,0,-16.41056762682824,-15.473391258129507,-9.741789364329202,-15.247376317651705,-13.676360015040112,-7.779119789977524,-14.016567863161933,-12.137861312257618,-6.519417627913414,-15.59792905787641,-12.287667785913584,-7.0872955544626395,-16.11210368388814,-13.998379238979364,-9.131396550707576,-15.53259450749774,-14.465734777586187,-9.11740871141381,-16.0474300157668,-15.991944044450381,-8.530757109940625,-14.375780436348233,-13.57448569961664,-8.233427075921059,-15.23465146981965,-16.26601452377121,-8.42960649470729,-17.535297885759327,-16.53324975754417,-8.173487214837564,-15.638095916760653,-15.99012318515885,-9.847561311468501,-14.887197596392983,-14.749596002360372,-9.247292591574427
