ID,Lat,Lon,Target,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
ID_SJ098E7S2SY9,34.16249093,70.76366828,0,922.25,1241.0,1703.25,2074.75,2405.25,2523.5,2635.5,2619.25,2749.25,2727.5,3537.25,3294.5
ID_I5DS1NLN2WM8,34.25143465,70.35956155,1,1230.5,1588.0,2074.75,2212.75,2549.25,3161.875,3489.75,3413.125,3564.625,3577.875,3331.75,2594.125
ID_JBRO8Z453K1J,34.26577617,70.34610331,1,1089.125,1564.375,2031.75,2344.375,2781.125,2883.125,3067.75,3070.75,3127.5,3240.5,3640.5,3153.875
ID_GYHRWRLEY9W3,34.2926256,70.34585617,0,1290.5,1477.75,2010.75,2442.0,2680.5,2759.625,2842.375,2885.5,2916.25,3012.5,3725.375,3449.875
ID_LLW4ZVLCTH7Y,34.30324556,70.3669421,0,1596.625,1803.375,2258.375,2533.0,2808.875,2781.875,2848.5,2773.25,2848.875,2951.5,3310.25,3066.25
ID_OVT4MUGA4Z22,34.11910992,70.75303683,0,1149.25,1737.5,2399.0,2900.5,3004.75,3118.75,3225.0,3338.0,3243.75,2980.25,3904.25,3590.25
ID_Z8Q7G6Y40XAW,34.08759212,70.69004889,1,408.5,882.75,1219.0,1422.0,1962.75,2960.5,3237.0,3123.5,3375.0,3367.5,2745.0,2268.25
ID_TMPFO6LITM9U,34.290535,70.42178679,1,1233.0,1837.75,2353.0,2592.5,2819.25,2911.375,3028.0,3048.375,3033.625,3132.875,3592.875,3287.25
ID_A14I5NDAO8F7,34.29785995,70.37267792,0,738.75,664.625,1017.75,1157.625,1385.625,2613.0,3088.875,2952.0,3209.875,3321.625,2259.75,1649.125
ID_Z79AVIRGE3E1,34.06032782,70.67200584,0,1226.25,1119.0,1596.5,1892.75,2507.0,2909.5,3075.25,2968.0,3186.5,3173.25,3598.0,2980.25
ID_XJAAMVGW5WRD,34.29816388,70.3838412,1,206.875,490.125,858.875,826.5,1291.25,2793.875,3496.75,3656.75,3637.625,3791.5,2014.375,1379.625
ID_QPA2ZDG5PY1Q,34.28828518,70.34004569,0,1186.25,1565.375,2122.5,2531.375,2940.5,3070.0,3167.875,3055.125,3237.125,3285.125,3908.125,3551.375
ID_6D13XY27TWND,34.05544997,70.66789003,0,734.25,781.0,1230.5,1438.5,2040.75,2878.0,3168.25,3162.25,3272.0,3219.25,3220.75,2585.0
ID_225U8617WSMV,34.28343731,70.41526401,1,1165.5,1594.25,2072.375,2359.5,2589.75,2732.75,2867.375,2896.625,2906.75,2942.625,3553.125,3244.875
ID_3I9MVT5RFLMD,34.26070679,70.32226743,0,1404.25,1878.75,2397.0,2754.25,2941.75,2960.875,3055.0,3127.875,3108.375,3073.0,3864.625,3477.5
ID_ZS04D4TH0VOK,34.29350273,70.39832917,1,748.625,981.25,1483.5,1777.375,1964.25,2597.75,2849.25,3073.75,3035.25,3046.125,2951.5,2336.25
ID_VEJVIZMW7UKA,34.09326866,70.66235889,1,547.0,414.25,807.25,739.0,1054.5,3118.0,3902.0,4017.75,4034.0,3445.75,2099.0,1331.75
ID_0SF4RCN504DQ,34.24440986,70.31629921,0,811.25,1475.5,1684.5,1982.0,2145.75,2466.25,2695.0,2787.5,2796.0,3052.0,3040.5,2601.75
ID_453BYQRUDLDH,34.25022234,70.33514029,1,274.375,181.375,628.75,330.125,1062.375,3665.125,4556.5,5315.375,4805.125,4192.125,2042.125,1054.5
ID_5TSI3J199GYJ,34.26373295,70.34816968,1,406.125,535.5,959.625,902.125,1621.875,3210.125,3593.5,3649.375,3773.625,3702.0,2416.625,1750.375
ID_9UBU78S4KY2A,34.25899866,70.33512191,0,834.0,1191.5,1593.25,1749.625,2112.5,2504.25,2678.875,2768.375,2806.5,3347.875,2937.875,2489.5
ID_BZX6I8Y6G1T9,34.09144959,70.7531659,0,924.0,237.5,645.5,507.5,1135.75,2922.25,3557.5,3773.25,3675.75,3297.75,2100.75,1372.5
ID_Q1IW96RP307O,34.30222921,70.40841074,1,362.125,218.25,611.5,522.25,1256.625,3088.25,3779.0,3988.0,3815.0,3765.75,2136.125,1383.0
ID_VEQSIZ7OH0UQ,34.05803047,70.67193146,1,526.5,466.75,842.5,899.25,1764.25,2677.0,2993.75,3175.5,3102.0,3011.75,2754.25,2194.25
ID_W51I0PT12GTA,34.2724922,70.34944908,1,830.875,1094.25,1593.25,1819.125,2391.75,3138.75,3445.125,3527.5,3566.375,3654.125,3212.25,2469.0
ID_MICXEFLUWVJ9,34.16855323,70.77184251,1,753.25,1047.5,1634.5,2036.5,2553.75,2866.25,3068.0,3156.25,3189.25,3205.0,3559.75,3056.5
ID_07TOMJZX2GTF,34.08938649,70.6624717,0,1127.25,2266.0,2943.25,3437.0,3400.75,3555.5,3742.0,4050.0,3825.25,3668.25,4175.75,3658.0
ID_B9AM66XND0FN,34.25080661,70.30936596,0,1497.25,1899.75,2479.75,2964.25,3171.625,3180.625,3241.5,3301.5,3295.875,3243.0,4037.25,3642.375
ID_GDW55JLGOSR8,34.25062489,70.32877306,0,1002.875,1158.375,1522.5,1640.875,1767.25,1754.125,1819.625,1983.25,1903.125,2008.375,2275.625,1847.5
ID_NQVMMMQWSTT2,34.05752673,70.66577259,1,284.5,530.25,925.75,936.25,1462.25,2492.25,2860.25,2696.25,2921.0,3267.25,2442.75,1805.75
ID_W5HP021GO32T,34.29005486,70.39170132,0,697.75,1332.0,1792.5,2111.0,2058.375,2571.375,2823.25,2782.5,2906.0,3215.375,2933.375,2453.75
ID_7RLPAEJ707V4,34.08490793,70.69804161,0,1470.5,1691.0,2235.0,2635.75,2998.75,3231.5,3327.5,3229.75,3417.75,3429.75,4095.5,3604.75
