ID,Lat,Lon,Target,B1_month1,B2_month1,B3_month1,B4_month1,B5_month1,B6_month1,B7_month1,B8_month1,B8A_month1,B9_month1,B11_month1,B12_month1,B1_month2,B2_month2,B3_month2,B4_month2,B5_month2,B6_month2,B7_month2,B8_month2,B8A_month2,B9_month2,B11_month2,B12_month2,B1_month3,B2_month3,B3_month3,B4_month3,B5_month3,B6_month3,B7_month3,B8_month3,B8A_month3,B9_month3,B11_month3,B12_month3,B1_month4,B2_month4,B3_month4,B4_month4,B5_month4,B6_month4,B7_month4,B8_month4,B8A_month4,B9_month4,B11_month4,B12_month4,B1_month5,B2_month5,B3_month5,B4_month5,B5_month5,B6_month5,B7_month5,B8_month5,B8A_month5,B9_month5,B11_month5,B12_month5,B1_month6,B2_month6,B3_month6,B4_month6,B5_month6,B6_month6,B7_month6,B8_month6,B8A_month6,B9_month6,B11_month6,B12_month6,B1_month7,B2_month7,B3_month7,B4_month7,B5_month7,B6_month7,B7_month7,B8_month7,B8A_month7,B9_month7,B11_month7,B12_month7,B1_month8,B2_month8,B3_month8,B4_month8,B5_month8,B6_month8,B7_month8,B8_month8,B8A_month8,B9_month8,B11_month8,B12_month8,B1_month9,B2_month9,B3_month9,B4_month9,B5_month9,B6_month9,B7_month9,B8_month9,B8A_month9,B9_month9,B11_month9,B12_month9,B1_month10,B2_month10,B3_month10,B4_month10,B5_month10,B6_month10,B7_month10,B8_month10,B8A_month10,B9_month10,B11_month10,B12_month10,B1_month11,B2_month11,B3_month11,B4_month11,B5_month11,B6_month11,B7_month11,B8_month11,B8A_month11,B9_month11,B11_month11,B12_month11,B1_month12,B2_month12,B3_month12,B4_month12,B5_month12,B6_month12,B7_month12,B8_month12,B8A_month12,B9_month12,B11_month12,B12_month12
ID_KCK9QBYAK0Y2,32.355071,48.27726,1,998.5833333333334,1213.9166666666667,1631.3333333333333,2200.5,2401.25,2436.6666666666665,2547.4166666666665,2642.3333333333335,2649.1666666666665,2761.5833333333335,3476.5,3527.5833333333335,1003.4545454545455,1290.1818181818182,1690.5454545454545,2176.909090909091,2409.6363636363635,2508.090909090909,2652.4545454545455,2663.6363636363635,2736.4545454545455,2815.2727272727275,3331.7272727272725,3213.2727272727275,719.2,1084.2,1517.4,1816.4,2158.7,2967.7,3234.7,3282.6,3310.5,3348.4,3049.3,2590.4,529.2,718.0,1011.4,1033.8,1436.6,3149.8,3617.6,3480.0,3694.2,3430.8,2292.0,1548.8,377.14285714285717,510.85714285714283,828.5714285714286,735.0,1211.4285714285713,3466.714285714286,3999.0,4107.428571428572,4145.714285714285,3673.4285714285716,2050.285714285714,1193.142857142857,112.5,300.5,589.5,449.0,989.0,3151.0,3553.0,3655.0,3754.5,3162.0,1585.5,899.5,402.42857142857144,524.5714285714286,786.7142857142857,954.0,1247.857142857143,1851.7142857142858,2039.4285714285713,2219.285714285714,2216.4285714285716,2263.8571428571427,2112.5714285714284,1805.857142857143,,,,,,,,,,,,,511.6666666666667,828.3333333333334,1212.3333333333333,1471.0,1757.8333333333333,2162.1666666666665,2337.6666666666665,2424.1666666666665,2425.5,2926.6666666666665,2479.0,2119.8333333333335,397.1666666666667,461.5,769.8333333333334,623.5,1023.1666666666666,2936.0,3684.0,3819.6666666666665,3774.0,3746.1666666666665,1939.5,1153.5,783.4285714285714,910.2857142857143,1222.5714285714287,1352.7142857142858,1730.5714285714287,2807.714285714286,3502.1428571428573,3630.5714285714284,3716.714285714286,3710.0,2683.0,1872.5714285714287,973.8333333333334,1325.25,1819.6666666666667,2458.25,2713.6666666666665,2852.75,3009.5,3208.3333333333335,3202.0,3444.0,3632.8333333333335,3215.9166666666665
ID_ITGF9LFS2020,32.213047,48.204407,0,520.8333333333334,593.5833333333334,857.0,783.25,1125.6666666666667,2136.4166666666665,2459.75,2698.1666666666665,2640.25,2688.3333333333335,1693.5,1022.3333333333334,619.0909090909091,689.4545454545455,899.9090909090909,830.3636363636364,1252.1818181818182,2125.4545454545455,2431.5454545454545,2577.4545454545455,2643.0,2510.0,1625.0,973.3636363636364,380.6,464.1,714.5,626.5,1009.3,1930.4,2251.2,2442.0,2451.5,2430.9,1451.3,838.1,386.75,499.0,638.0,592.25,885.75,1544.0,1755.0,1750.5,1890.0,2061.75,1301.25,795.5,257.7142857142857,324.14285714285717,474.42857142857144,464.7142857142857,764.0,1459.2857142857142,1691.5714285714287,1897.7142857142858,1914.4285714285713,1787.7142857142858,1155.5714285714287,666.8571428571429,1.0,166.5,365.5,404.5,669.0,983.0,1064.5,1483.5,1304.0,1243.0,1360.5,972.0,207.42857142857142,316.2857142857143,431.85714285714283,581.1428571428571,816.8571428571429,982.5714285714286,1068.2857142857142,1275.857142857143,1232.5714285714287,1386.857142857143,1570.5714285714287,1198.0,136.33333333333334,266.6666666666667,407.6666666666667,583.6666666666666,742.0,944.0,1023.0,1168.6666666666667,1128.6666666666667,1396.6666666666667,1671.0,1342.6666666666667,236.125,362.625,552.0,596.875,875.875,1249.375,1330.5,1518.0,1486.375,1653.75,1568.5,1183.125,470.2857142857143,546.1428571428571,759.5714285714286,666.5714285714286,1094.2857142857142,1898.0,2121.8571428571427,2222.8571428571427,2237.0,2203.285714285714,1662.142857142857,1114.5714285714287,629.8571428571429,707.2857142857143,952.1428571428571,877.8571428571429,1270.2857142857142,2188.5714285714284,2481.8571428571427,2665.1428571428573,2611.285714285714,2545.714285714286,1919.5714285714287,1233.857142857143,497.0,575.0833333333334,836.3333333333334,728.6666666666666,1182.5833333333333,2226.9166666666665,2533.25,2879.5833333333335,2711.5,2677.5,1819.0833333333333,1156.3333333333333
ID_RWDNMXA19KUS,32.269461,48.401228,1,312.6666666666667,396.6666666666667,654.3333333333334,520.6666666666666,881.5,2837.6666666666665,3993.8333333333335,4119.333333333333,4136.666666666667,4185.333333333333,1675.8333333333333,897.1666666666666,1033.6666666666667,1238.6666666666667,1620.3333333333333,2187.3333333333335,2509.1666666666665,2702.1666666666665,2930.3333333333335,2943.6666666666665,3120.1666666666665,3165.5,3484.3333333333335,3170.3333333333335,803.6,991.4,1372.4,1978.0,2153.4,2190.6,2311.6,2364.0,2405.6,2423.8,2953.0,2985.0,1133.0,1042.3333333333333,1422.0,1920.6666666666667,2179.6666666666665,2304.3333333333335,2509.3333333333335,2256.6666666666665,2625.3333333333335,2620.3333333333335,2909.6666666666665,2821.3333333333335,544.25,661.5,973.25,1309.5,1584.0,1826.0,1920.0,2007.5,2004.0,2039.25,2042.75,1791.0,72.0,120.0,553.0,174.0,1053.0,4607.0,5311.0,5472.0,5339.0,5486.0,1316.0,518.0,265.3333333333333,293.3333333333333,566.3333333333334,294.3333333333333,938.6666666666666,4491.333333333333,5463.0,5597.333333333333,5490.666666666667,5632.0,1341.3333333333333,548.0,47.0,120.0,461.0,198.0,831.0,4227.0,5281.0,5448.0,5372.0,5495.0,1167.0,445.0,139.75,351.75,998.5,655.25,1488.5,3949.5,4592.0,4788.5,4753.75,4825.25,1274.5,695.5,317.0,498.6666666666667,902.6666666666666,895.6666666666666,1639.6666666666667,2511.6666666666665,2759.3333333333335,2960.6666666666665,3031.6666666666665,3075.3333333333335,1781.0,1227.6666666666667,834.75,992.0,1338.5,1642.5,1953.5,2496.5,2715.0,2763.5,2807.5,2845.75,2714.0,2336.75,199.0,279.6666666666667,591.8333333333334,364.8333333333333,820.0,3125.1666666666665,4170.0,4369.0,4253.0,4385.0,1794.0,911.5
ID_FURGK4AJ96OK,32.267216,48.505971,1,568.0,949.3333333333334,1404.0,1998.3333333333333,2144.6666666666665,3042.3333333333335,3392.0,3597.6666666666665,3724.8333333333335,4103.0,3343.3333333333335,2485.0,879.5,1058.3333333333333,1395.6666666666667,1864.3333333333333,2218.5,2444.1666666666665,2649.6666666666665,2475.3333333333335,2855.5,3359.6666666666665,3291.5,2936.1666666666665,720.0,1105.6,1518.4,2116.0,2276.6,2476.8,2625.6,2639.2,2803.6,3250.6,3304.8,3193.2,782.5,1305.0,1792.0,2442.0,2674.0,2909.5,3132.5,3219.0,3440.5,3486.5,3914.0,3500.5,601.5,760.0,1086.0,1471.0,1711.25,1857.5,1962.0,2036.0,2046.5,2188.0,2384.0,2148.25,297.0,382.0,723.0,601.0,1440.0,3291.0,3642.0,4264.0,3667.0,3211.0,1739.0,1101.0,454.0,388.3333333333333,529.0,363.6666666666667,955.0,3622.0,4382.666666666667,4840.333333333333,4407.0,3416.0,1194.6666666666667,649.6666666666666,239.0,251.0,386.0,220.0,893.0,3769.0,4742.0,5148.0,4793.0,3790.0,1059.0,573.0,297.25,454.5,634.75,520.75,1206.75,3914.5,4827.0,5150.0,4870.75,4653.0,1377.0,726.25,397.3333333333333,656.3333333333334,897.0,856.3333333333334,1515.3333333333333,3556.0,4211.0,4702.0,4405.333333333333,3994.6666666666665,1834.6666666666667,1136.6666666666667,833.75,1217.0,1623.5,2196.0,2376.0,2562.75,2732.25,2810.0,2882.25,2826.75,3305.75,3044.75,950.1666666666666,1420.6666666666667,1912.3333333333333,2632.3333333333335,2903.0,2960.1666666666665,3117.0,3220.0,3283.1666666666665,3515.0,3902.0,3656.1666666666665
ID_0NNHG3MCA9IY,32.366659,48.258755,1,1061.25,1373.1666666666667,1872.5,2516.1666666666665,2695.3333333333335,2782.0833333333335,2916.6666666666665,3096.3333333333335,3053.5833333333335,3062.1666666666665,3825.5833333333335,3500.5,918.4545454545455,1117.5454545454545,1513.6363636363637,1953.6363636363637,2184.7272727272725,2326.2727272727275,2471.2727272727275,2554.909090909091,2597.181818181818,2640.4545454545455,3204.818181818182,2779.5454545454545,525.0,687.3,1008.9,1206.0,1446.9,2121.9,2455.6,2594.4,2548.8,2594.6,2582.5,2102.0,353.0,442.8,644.4,511.2,788.8,2361.4,3153.6,3142.4,3267.2,3251.8,1636.0,886.0,226.71428571428572,305.42857142857144,521.8571428571429,408.14285714285717,685.2857142857143,2066.4285714285716,2656.8571428571427,2873.714285714286,2838.8571428571427,2855.0,1591.142857142857,861.0,1.0,23.0,350.0,329.5,719.5,1787.0,2104.0,2345.0,2327.0,2334.0,1589.0,948.5,216.14285714285714,324.57142857142856,508.85714285714283,607.7142857142857,833.4285714285714,1185.2857142857142,1317.0,1460.142857142857,1506.857142857143,1494.7142857142858,1725.5714285714287,1296.7142857142858,322.0,570.0,821.6666666666666,1148.0,1306.3333333333333,1335.0,1475.0,1645.0,1617.3333333333333,1637.3333333333333,2146.3333333333335,1908.0,695.75,970.75,1372.25,1804.25,1959.875,2099.75,2233.5,2405.75,2409.125,2455.625,3017.0,2685.75,709.4285714285714,895.5714285714286,1222.5714285714287,1590.0,1754.7142857142858,1871.142857142857,2004.0,2089.4285714285716,2101.714285714286,2139.5714285714284,2682.8571428571427,2416.285714285714,665.8571428571429,819.4285714285714,1207.0,1227.857142857143,1597.142857142857,2801.5714285714284,3236.4285714285716,3325.4285714285716,3332.1428571428573,3342.1428571428573,2730.1428571428573,2010.7142857142858,216.83333333333334,312.25,584.4166666666666,383.5833333333333,754.25,3010.25,4253.416666666667,4454.416666666667,4379.083333333333,4415.333333333333,1739.3333333333333,850.0
ID_GVO6MJEI68ZU,32.080905,48.227583,0,843.0833333333334,1194.0,1713.6666666666667,2206.5,2638.25,3152.9166666666665,3475.3333333333335,3728.6666666666665,3815.3333333333335,3846.5833333333335,3551.5,2618.4166666666665,929.0909090909091,1190.1818181818182,1666.7272727272727,2196.909090909091,2645.2727272727275,3166.090909090909,3457.909090909091,3592.0,3775.0,3842.2727272727275,3700.4545454545455,2747.6363636363635,840.4,1153.0,1666.8,2297.8,2763.8,3204.0,3520.9,3727.4,3891.5,3987.1,3737.2,2783.0,786.25,1063.0,1568.5,2111.0,2605.75,3028.5,3328.5,3391.5,3732.75,3798.25,3540.0,2610.75,657.1428571428571,865.1428571428571,1311.7142857142858,1826.0,2214.1428571428573,2609.0,2844.714285714286,3138.714285714286,3200.0,3281.714285714286,3043.285714285714,2199.5714285714284,491.75,750.25,1095.0,1272.5,1651.75,2010.75,2142.75,2324.0,2306.75,2253.0,2644.0,2249.5,505.2857142857143,776.8571428571429,1219.7142857142858,1473.0,1877.7142857142858,2360.8571428571427,2524.714285714286,2731.1428571428573,2706.5714285714284,2674.5714285714284,3024.0,2541.0,512.0,925.75,1365.0,1631.75,2072.25,2770.5,2972.0,3267.75,3178.75,3183.5,3266.5,2736.75,538.875,844.375,1340.75,1471.375,1961.875,2939.5,3152.25,3321.0,3315.25,3363.25,2926.25,2337.75,822.1666666666666,1175.0,1699.0,2034.6666666666667,2425.1666666666665,3085.6666666666665,3298.1666666666665,3488.3333333333335,3490.3333333333335,3494.6666666666665,3643.5,3137.3333333333335,1084.2857142857142,1424.5714285714287,1943.142857142857,2418.5714285714284,2753.1428571428573,3111.1428571428573,3315.0,3474.0,3519.1428571428573,3484.5714285714284,4069.5714285714284,3550.5714285714284,1120.6666666666667,1551.8333333333333,2151.8333333333335,2733.1666666666665,3063.25,3412.3333333333335,3623.25,3863.5,3834.6666666666665,3829.5,4356.083333333333,3721.25
ID_0XFW2K5YRDNZ,32.285092,48.425482,1,793.0,1008.5,1288.1666666666667,1715.0,1895.6666666666667,1949.1666666666667,2070.8333333333335,2115.0,2206.1666666666665,2287.8333333333335,2930.3333333333335,2963.1666666666665,957.0,1113.5,1426.0,1864.6666666666667,2081.0,2137.3333333333335,2275.3333333333335,2257.3333333333335,2380.8333333333335,2471.6666666666665,2955.0,2926.0,922.8,1082.0,1481.6,2074.0,2257.6,2306.6,2453.8,2514.4,2557.4,2752.8,3143.2,3084.8,765.0,911.0,1266.0,1719.0,1934.5,1979.5,2075.5,2007.0,2145.0,2198.5,2519.0,2380.0,609.75,770.0,1162.0,1325.25,1770.25,2335.0,2475.5,2541.0,2560.0,2777.75,2180.5,1820.0,216.0,127.0,606.0,265.0,1227.0,3865.0,4388.0,4372.0,4424.0,5045.0,1427.0,744.0,547.6666666666666,711.0,989.6666666666666,1252.6666666666667,1529.3333333333333,1821.6666666666667,1909.0,1906.0,1997.0,2533.6666666666665,1976.6666666666667,1780.6666666666667,334.0,399.0,644.0,836.0,1136.0,1497.0,1609.0,1682.0,1685.0,1928.0,1627.0,1304.0,275.5,254.0,658.25,317.75,1046.0,4184.25,5483.5,5689.5,5487.75,4669.25,1949.5,999.0,294.3333333333333,309.3333333333333,519.3333333333334,371.3333333333333,807.6666666666666,2814.6666666666665,3993.6666666666665,4164.0,4190.666666666667,4402.0,1442.6666666666667,772.6666666666666,668.75,863.75,1136.5,1547.75,1790.25,1990.0,2172.5,2297.0,2403.5,2446.5,2332.75,1783.0,791.5,918.5,1200.1666666666667,1606.1666666666667,1809.3333333333333,1841.1666666666667,1961.5,2002.6666666666667,2091.0,2130.3333333333335,2838.5,2879.3333333333335
ID_KY8XO7N2P6VD,32.137678,48.278068,1,1007.0,1399.1666666666667,1857.3333333333333,2472.1666666666665,2500.3333333333335,2595.4166666666665,2680.8333333333335,2991.1666666666665,2815.6666666666665,2757.8333333333335,3695.0833333333335,3575.6666666666665,988.2727272727273,1223.1818181818182,1618.7272727272727,2104.5454545454545,2293.909090909091,2385.818181818182,2499.909090909091,2602.0,2630.5454545454545,2693.0,3307.5454545454545,3068.3636363636365,1021.8,1264.0,1690.0,2255.8,2418.1,2443.2,2574.4,2661.6,2688.8,2754.2,3458.4,3324.0,891.0,1057.75,1499.5,1938.5,2171.75,2231.5,2318.25,2260.5,2402.75,2458.75,3007.5,2863.75,624.4285714285714,788.8571428571429,1193.142857142857,1408.7142857142858,1765.5714285714287,2111.0,2203.1428571428573,2278.8571428571427,2279.1428571428573,2238.4285714285716,2283.714285714286,1885.142857142857,351.3333333333333,341.0,653.5,368.5,975.75,3300.5,3806.5,3753.75,3820.25,3919.0,1212.25,649.25,119.28571428571429,150.0,442.42857142857144,195.14285714285714,797.5714285714286,3607.8571428571427,4341.285714285715,4362.857142857143,4371.428571428572,4490.428571428572,1111.0,506.14285714285717,56.5,141.0,472.5,195.25,875.0,3790.25,4560.5,4757.5,4625.25,4723.5,1133.5,516.75,190.85714285714286,315.57142857142856,713.4285714285714,380.85714285714283,1097.7142857142858,3826.5714285714284,4637.142857142857,4748.571428571428,4688.857142857143,4725.571428571428,1362.0,675.4285714285714,324.0,425.5,864.0,537.8333333333334,1368.1666666666667,3752.3333333333335,4429.5,4633.0,4615.0,4603.0,1538.5,774.0,532.2857142857143,628.4285714285714,995.1428571428571,966.4285714285714,1549.857142857143,2638.5714285714284,2984.5714285714284,3185.4285714285716,3305.714285714286,3319.5714285714284,2310.285714285714,1441.4285714285713,770.25,987.1666666666666,1415.5833333333333,1845.8333333333333,2193.3333333333335,2561.1666666666665,2777.5833333333335,2969.0,3036.3333333333335,3039.0833333333335,3456.25,2855.75
ID_LGYY4UDR860U,32.101836,48.333045,0,820.0,816.0,1168.5,1356.6666666666667,1840.3333333333333,2573.6666666666665,2881.6666666666665,3365.3333333333335,3072.3333333333335,3125.6666666666665,2781.6666666666665,2111.0,853.6666666666666,885.3333333333334,1165.0,1329.3333333333333,1786.1666666666667,2594.5,2978.1666666666665,3288.3333333333335,3135.8333333333335,3167.6666666666665,2605.0,1875.3333333333333,626.0,628.6,931.0,1005.6,1430.0,2321.2,2693.6,3196.8,2912.4,3119.0,2324.4,1610.8,649.3333333333334,654.0,973.6666666666666,1050.6666666666667,1402.0,2192.6666666666665,2600.6666666666665,2868.0,2739.0,3008.3333333333335,2370.3333333333335,1636.6666666666667,533.25,509.0,782.0,872.75,1188.25,1893.5,2235.0,2699.25,2451.25,2702.25,2079.5,1397.0,429.5,535.5,784.5,837.0,1131.0,1704.5,1964.0,2456.0,2150.0,2151.5,1964.5,1354.5,338.6666666666667,405.3333333333333,605.0,791.6666666666666,1010.6666666666666,1421.0,1618.0,1898.6666666666667,1884.0,2224.3333333333335,1971.6666666666667,1338.0,316.0,400.0,632.0,879.0,1045.0,1470.0,1565.0,1926.0,1856.0,2316.0,2085.0,1436.0,391.75,477.0,693.0,897.25,1154.0,1679.5,1871.25,1945.0,2037.5,2447.5,2041.0,1456.75,664.0,517.3333333333334,756.6666666666666,855.3333333333334,1197.6666666666667,1749.0,1921.0,2130.6666666666665,2126.6666666666665,2638.3333333333335,2195.3333333333335,1620.3333333333333,864.5,745.0,1012.0,1143.75,1367.0,1810.75,2017.25,2297.5,2232.0,2687.75,2371.75,1883.25,861.6666666666666,721.8333333333334,953.6666666666666,1189.0,1317.3333333333333,1337.8333333333333,1454.6666666666667,1523.0,1526.3333333333333,2377.1666666666665,2137.8333333333335,2090.5
ID_5BMA9W7D2IL0,32.358844,48.272499,1,931.4166666666666,1177.6666666666667,1632.6666666666667,2162.3333333333335,2324.0833333333335,2344.75,2474.5,2585.1666666666665,2551.1666666666665,2481.3333333333335,3385.25,3417.3333333333335,891.2727272727273,1069.4545454545455,1450.7272727272727,1742.090909090909,2021.4545454545455,2484.3636363636365,2689.0,2730.5454545454545,2778.5454545454545,2720.7272727272725,3083.818181818182,2740.181818181818,247.9,333.4,565.4,420.7,728.1,2516.4,3377.5,3482.3,3456.3,3437.0,1661.8,896.6,290.8,408.0,574.8,450.0,699.2,2057.6,2810.2,2876.8,2988.4,2934.6,1569.6,831.2,226.42857142857142,321.42857142857144,545.4285714285714,523.4285714285714,848.0,1783.142857142857,2139.4285714285716,2344.285714285714,2343.0,2321.8571428571427,1684.857142857143,988.2857142857143,648.5,863.75,1088.5,1331.25,1491.5,1605.0,1713.0,1805.5,1786.5,1761.5,2282.5,2113.0,473.57142857142856,697.0,976.4285714285714,1246.5714285714287,1481.7142857142858,1795.7142857142858,1916.7142857142858,2064.714285714286,2015.4285714285713,1921.142857142857,2360.285714285714,2050.1428571428573,345.3333333333333,544.3333333333334,880.0,1046.3333333333333,1330.3333333333333,1801.6666666666667,1918.0,2052.0,1990.0,1921.6666666666667,2072.3333333333335,1723.6666666666667,230.75,415.75,749.75,624.375,1143.125,2661.0,3124.875,3285.625,3234.5,3630.875,1865.75,1090.25,354.7142857142857,494.85714285714283,779.5714285714286,706.8571428571429,1156.5714285714287,2417.714285714286,2927.0,3098.8571428571427,3170.1428571428573,3409.5714285714284,1680.2857142857142,998.8571428571429,704.7142857142857,951.7142857142857,1327.142857142857,1756.5714285714287,2003.5714285714287,2142.714285714286,2324.714285714286,2505.1428571428573,2580.5714285714284,2572.5714285714284,3147.8571428571427,2551.0,794.4166666666666,1002.3333333333334,1361.3333333333333,1819.6666666666667,1994.1666666666667,2052.6666666666665,2150.5833333333335,2254.3333333333335,2258.1666666666665,2166.5,3099.0,3114.3333333333335
