ID,Lat,Lon,Target,vhAsc_month1,vhDesc_month1,VVAscDesc_month1,vhAsc_month2,vhDesc_month2,VVAscDesc_month2,vhAsc_month3,vhDesc_month3,VVAscDesc_month3,vhAsc_month4,vhDesc_month4,VVAscDesc_month4,vhAsc_month5,vhDesc_month5,VVAscDesc_month5,vhAsc_month6,vhDesc_month6,VVAscDesc_month6,vhAsc_month7,vhDesc_month7,VVAscDesc_month7,vhAsc_month8,vhDesc_month8,VVAscDesc_month8,vhAsc_month9,vhDesc_month9,VVAscDesc_month9,vhAsc_month10,vhDesc_month10,VVAscDesc_month10,vhAsc_month11,vhDesc_month11,VVAscDesc_month11,vhAsc_month12,vhDesc_month12,VVAscDesc_month12
ID_CWCD60FGJJYY,32.075695,48.492047,0,-14.937538647872696,-16.69735228434994,-10.189641617518115,-16.235615409117038,-16.274586156768724,-9.962094355421936,-15.940128500800961,-16.66760168756378,-10.694286681622915,-16.770924306805064,-17.033228067810942,-9.82587585696756,-18.348728292657263,-18.029513820069727,-11.37700287410502,-15.700476061638398,-15.167285229060003,-9.866514922070955,-17.261565831542246,-16.148900314610593,-10.133540909868163,-16.41534228021834,-14.460195577121839,-10.523310351094654,-15.226361056155296,-14.889299915909822,-9.560133076125606,-14.86639926669574,-15.96799571517839,-10.331437128711922,-18.913377940255906,-15.044964511860233,-10.866517373045657,-16.9944306377246,-18.02645729307269,-10.879998834766878
ID_5QV3RGD8E6L6,32.309077,48.324152,1,-15.934588446355566,-16.566077902266166,-7.783868917192475,-18.34883390928002,-17.088626005288653,-7.419226901005454,-22.366907560477905,-20.435926974997617,-12.031795711645511,-26.49976776446054,-22.141031067809163,-12.203802418019333,-25.750724806119713,-24.299414546341996,-9.898635006019354,-20.062558826082057,-22.117191903629514,-4.415550649277056,-20.008818266558617,-23.164241794164464,-5.261160072292633,-18.38019540851783,-20.03922618294765,-4.539801154797238,-16.559093833437817,-15.588605425427968,-5.854300515206121,-14.99151058745829,-14.030272953615107,-6.735957130114004,-16.677300553916112,-16.976104770541195,-8.897811202134696,-16.965094147779165,-19.936155603232585,-9.190615157359387
ID_OGEL0LA7Y94S,32.294165,48.17602,0,-14.781031255473408,-15.685104295145345,-7.553312106373524,-14.620528299059941,-13.684084689831582,-8.904373885872918,-14.404822927303968,-14.485236562449419,-8.44508678445994,-14.951618498218005,-13.286496214833798,-9.271519130964663,-14.597643917443317,-13.687517716188003,-9.814554929813399,-15.357443853008615,-15.783553770436345,-9.155698419492749,-15.123421098216967,-15.347663387963596,-8.536127862492181,-14.438928590386382,-17.685995773701514,-8.044049965862719,-15.342496739297632,-15.146367328053191,-8.206404977370575,-13.894424628590428,-15.69603514169465,-11.313415447479542,-14.225581225319972,-15.81962923211207,-10.001337488308115,-14.367935323759898,-16.17115714470983,-9.50736599864021
ID_O4CHBAKY74WZ,32.379146,48.215546,1,-21.162441706980925,-19.89514780292564,-10.948231191141202,-20.432510348785534,-19.59486964907961,-10.21051855007396,-15.78009947022368,-15.958185316059613,-10.418145805132706,-18.632853727094673,-17.585278455963532,-9.323911120111525,-16.903072225189625,-17.452139579033616,-9.636847695166127,-15.621706138762084,-15.672926810354351,-7.6449832704807505,-18.284513274689004,-19.76801999043339,-9.403015224664648,-22.515725877325025,-18.70350747018078,-12.546169299777421,-21.657421017724634,-18.266103374468194,-12.794713814547553,-19.676681044664313,-19.1790611903522,-14.45703939732798,-22.189670279716292,-23.650509545978274,-13.11536879148099,-18.796609164757292,-20.25529952592706,-8.689927339456121
ID_7VVCEG83E9SF,32.110459,48.207102,0,-18.30872115357727,-18.534277908788987,-10.32544299416231,-18.332209589666046,-17.346460399156133,-12.015102512282906,-16.809075808270478,-18.885147423408675,-11.874199362751453,-18.131842409723134,-18.171569146669395,-11.761919707982505,-18.318959847870882,-20.41783358188637,-12.123618838443244,-17.739687675912215,-18.628598625470637,-10.289633032776733,-17.791660548878713,-16.72388469295923,-9.546648078741649,-17.00785122125316,-19.00364264616786,-9.841057443697473,-16.482820524664493,-18.730918861418168,-9.928322504489312,-17.01790365128369,-17.297059031930086,-9.40245531986858,-16.631482329649764,-16.68902380030597,-11.699561445018803,-18.886298386097263,-17.634876526024232,-12.018830917255777
ID_NBUO51LOXDEH,32.303507,48.25588,1,-19.07165767382225,-19.762298303470185,-10.898920734054688,-20.51288853426439,-18.290110882061633,-11.759069665413252,-17.748087478261187,-16.003347775541293,-11.783519984453177,-18.31208129715968,-16.0569077428372,-10.68573349566459,-18.10227015516233,-19.553564376722935,-13.015593992813356,-15.870214724054202,-17.43987315840758,-10.884792935077087,-20.98397518377159,-19.132027914219034,-10.581432518640213,-19.55690340205833,-17.54101160172334,-12.379451535435518,-18.1632800501067,-16.68652762689981,-13.727754796749492,-18.7794026026532,-18.9942341099027,-14.511334560170608,-23.395236331454182,-21.498576371884496,-15.677321520752068,-23.00472095713743,-25.771665986337847,-13.925650308435259
ID_S4FZH0QBZOPN,32.310065,48.291633,0,-15.689946812895908,-14.591301415973954,-10.102178407451852,-14.964943231613796,-14.999982131427137,-10.069720018744896,-15.80040580091774,-16.234121168774994,-11.550944327388727,-16.08237925935863,-17.310854950571436,-11.443456011655634,-15.486016431949384,-15.399494717271997,-11.880701953996832,-16.786160993079285,-13.841152685075091,-10.611462020202628,-16.483024355576845,-16.26353915617183,-11.210262276036126,-16.245975168167014,-14.082051886973074,-10.349454090560283,-15.258211214907096,-14.766359348557206,-9.38642001536075,-15.39600342637836,-15.862298761029432,-9.314873869110265,-16.074438672089652,-16.849235623705532,-10.436752576504658,-15.10880705835593,-18.46828571494529,-11.907048845722176
ID_RJD8BACKOCFA,32.085846,48.238992,0,-17.334029849228738,-18.16863723446762,-11.428874884752313,-17.781985721727573,-16.58334238655631,-11.522145076367304,-16.30710742903494,-17.958432621630216,-11.343112636072295,-16.333907722719353,-18.544401530230548,-10.629023411584836,-17.428934544959166,-17.531454930420107,-11.308311519374652,-17.658894272703865,-18.960584152287247,-11.923206936062723,-18.85543364486638,-18.85729133360117,-11.353530682291364,-18.29076596269045,-17.902200758941028,-12.292576877205464,-18.48475464023343,-18.356578865126465,-10.837017586891692,-17.54863692867817,-18.25191643159976,-11.764767767819244,-18.936585601352853,-19.142539759980814,-13.199340209128362,-18.595841447458003,-19.346873439954727,-12.394849993600989
ID_WCVQ3NFKNRJ2,32.455143,48.364486,0,-12.346506066029258,-11.490904123890559,-4.505708970394792,-11.661615388658502,-11.681462455848765,-4.629898697627266,-11.50510985854096,-11.618932899237233,-5.898725014002607,-12.90465255106526,-11.469066199683764,-6.0154441701846135,-11.860412935312842,-11.9096832148365,-5.800190465490402,-12.406875369986638,-13.224767324568143,-4.861949580804858,-12.701009190694437,-11.33097422845996,-5.140928169133273,-10.489297031053493,-11.68139324935521,-4.1496107662282435,-12.282134109181975,-12.425456348892741,-5.848734547544381,-12.121004409526236,-11.796756385197611,-5.222178722976337,-11.599291904171718,-12.937383334128583,-4.888908697500406,-11.643490907743892,-11.249274571037738,-3.571751123297737
ID_XFF0KHBYXV6S,32.280331,48.393053,1,-27.371635167711936,-22.65975819869917,-13.279025357679465,-28.17893886333578,-24.15695077833582,-13.36655479376724,-26.98919399638862,-24.95361794767275,-12.375769515737877,-24.43997383922801,-21.034199263267336,-9.667033625293007,-21.546102096118293,-19.508343011215928,-8.459011981578806,-14.05249399391911,-13.795604774630212,-7.688903904997329,-16.247419102989895,-15.989676631790669,-10.195154500121072,-15.752763581892705,-14.168310826244173,-8.320611606034761,-15.50466397114007,-15.516885120844984,-8.70667928955343,-14.711587356448499,-14.982481852866943,-7.950639708991259,-16.877489701410727,-15.584761498890686,-7.297007774491234,-22.319879332113107,-22.26810202175968,-12.600312830344022
ID_3DRUZOA3UAGE,32.213676,48.393412,1,-20.100267522445414,-19.86514372061811,-10.442743145610375,-21.59212237659833,-22.901173967646095,-12.055534526280045,-19.528953654889953,-19.139195017356407,-11.669662859548698,-15.335966386224218,-14.534856459861738,-10.233674205771504,-16.340309758770246,-16.038411442938216,-9.146660961325997,-16.226331319033722,-12.298394080810304,-9.394492428383396,-19.722466707476396,-18.86562031326527,-11.22609247022934,-22.296922580770282,-18.10504411219288,-9.07865594542463,-17.696014098016178,-18.633253328306093,-12.219063442763005,-18.857009323026453,-20.524186664091776,-14.460473388219839,-19.75214007911336,-19.844328861770673,-12.912725507700396,-19.45650614031663,-20.451475027272306,-11.467004738490656
ID_DAOBPJI382OT,32.292997,48.452791,1,-15.593105205382798,-14.245571100237527,-9.25622396406286,-15.399909676428758,-15.195293963799974,-8.30638532777998,-14.751781741013568,-13.948630188641832,-8.438550355072973,-15.36301085252867,-12.54653360498969,-8.557381152955129,-16.064685163950422,-14.867092694073143,-7.857049377698673,-16.45276504674755,-17.317615313791713,-8.769246698170255,-16.988029624297614,-16.74914222529739,-8.965596844074826,-15.708968288014596,-15.578752554257946,-9.172947288555108,-15.280346016012627,-14.216351740267266,-8.443875117209837,-15.296793787792193,-15.429016040000391,-8.999757751649115,-15.975770143689788,-17.372035141824878,-9.091549092920502,-16.147329247141816,-15.87687021286285,-8.954858355979509
ID_3PR0OWONVC1U,32.125102,48.22381,0,-18.36808367426394,-17.686651516148704,-11.777592933559278,-17.766009965244173,-16.851301270722256,-11.466773563357489,-16.877707644028355,-16.72889438882338,-11.725999522478226,-18.656083190201525,-18.91424662525317,-11.670976746524094,-20.571693236570248,-20.76553715973405,-12.665286058580516,-18.438122848103752,-21.71155758499728,-12.34216971041077,-18.802076804520347,-18.3018878741756,-12.386794171335165,-18.82662782063782,-17.08175798027243,-12.485693207497322,-16.05471048366217,-16.657346582633622,-11.347491685364156,-18.933405428811426,-17.751335933506926,-11.980955102206062,-20.005703503047318,-19.679890032211887,-13.58985492998591,-19.660225320710826,-18.948061313612595,-11.811541310599889
ID_7RT6AGC8VZMB,32.325875,48.283369,1,-17.466955811139307,-19.894845308803472,-10.466932467783087,-19.425911272454307,-19.3287136106186,-11.440977267226149,-20.589226178502713,-20.857740946389036,-11.598135773476146,-20.69161716491532,-18.378685000397226,-11.838233744200242,-15.982171347141971,-15.054441175519377,-8.632741007792271,-13.027350465839612,-13.755499023115522,-7.729948505749748,-14.65755593583125,-14.806292427613883,-9.372155786422125,-18.300706421490855,-17.30796352768772,-9.376958201535569,-19.475510052062717,-19.80542294777909,-9.997347166331183,-18.324519456416454,-18.339943343616245,-10.044839518772612,-16.149510128395125,-16.04619759063956,-9.125859132788802,-18.881196125386616,-17.60034977688912,-11.845979267260027
