ID,Lat,Lon,Target,B1_month1,B2_month1,B3_month1,B4_month1,B5_month1,B6_month1,B7_month1,B8_month1,B8A_month1,B9_month1,B11_month1,B12_month1,B1_month2,B2_month2,B3_month2,B4_month2,B5_month2,B6_month2,B7_month2,B8_month2,B8A_month2,B9_month2,B11_month2,B12_month2,B1_month3,B2_month3,B3_month3,B4_month3,B5_month3,B6_month3,B7_month3,B8_month3,B8A_month3,B9_month3,B11_month3,B12_month3,B1_month4,B2_month4,B3_month4,B4_month4,B5_month4,B6_month4,B7_month4,B8_month4,B8A_month4,B9_month4,B11_month4,B12_month4,B1_month5,B2_month5,B3_month5,B4_month5,B5_month5,B6_month5,B7_month5,B8_month5,B8A_month5,B9_month5,B11_month5,B12_month5,B1_month6,B2_month6,B3_month6,B4_month6,B5_month6,B6_month6,B7_month6,B8_month6,B8A_month6,B9_month6,B11_month6,B12_month6,B1_month7,B2_month7,B3_month7,B4_month7,B5_month7,B6_month7,B7_month7,B8_month7,B8A_month7,B9_month7,B11_month7,B12_month7,B1_month8,B2_month8,B3_month8,B4_month8,B5_month8,B6_month8,B7_month8,B8_month8,B8A_month8,B9_month8,B11_month8,B12_month8,B1_month9,B2_month9,B3_month9,B4_month9,B5_month9,B6_month9,B7_month9,B8_month9,B8A_month9,B9_month9,B11_month9,B12_month9,B1_month10,B2_month10,B3_month10,B4_month10,B5_month10,B6_month10,B7_month10,B8_month10,B8A_month10,B9_month10,B11_month10,B12_month10,B1_month11,B2_month11,B3_month11,B4_month11,B5_month11,B6_month11,B7_month11,B8_month11,B8A_month11,B9_month11,B11_month11,B12_month11,B1_month12,B2_month12,B3_month12,B4_month12,B5_month12,B6_month12,B7_month12,B8_month12,B8A_month12,B9_month12,B11_month12,B12_month12
ID_HNF6RBBAOBNU,14.398557,33.551178,0,1058.0,627.5,1009.5,1148.0,2090.5,2697.0,2971.0,3034.0,3054.5,2883.5,2786.5,2530.0,987.0,837.0,1210.0,1474.0,1993.0,2533.0,2787.3333333333335,2794.0,2973.3333333333335,2839.0,2897.6666666666665,2673.0,740.0,396.0,706.0,787.0,1565.0,2239.5,2526.5,2632.0,2647.5,2535.5,2376.5,2053.0,774.25,683.625,1040.625,1267.25,1731.375,2218.875,2414.75,2626.5,2560.75,2613.0,2562.25,2366.375,726.0,595.5454545454545,956.3636363636364,1189.6363636363637,1641.090909090909,2066.181818181818,2236.0,2399.090909090909,2343.5454545454545,2484.2727272727275,2451.181818181818,2289.0,696.6666666666666,577.0,961.9166666666666,1173.0,1616.0833333333333,1963.75,2118.5,2297.8333333333335,2228.5,2413.0,2427.0,2249.4166666666665,713.0,600.7272727272727,1043.090909090909,1304.909090909091,1703.3636363636363,2061.0,2192.5454545454545,2395.2727272727275,2316.7272727272725,2464.181818181818,2473.2727272727275,2346.5454545454545,789.5,870.3,1291.2,1579.8,2063.3,2318.9,2405.5,2711.4,2498.8,2573.8,2706.9,2596.4,1014.0,1283.125,1806.0,2081.5,2479.125,2747.125,2839.0,3229.5,3010.0,2833.75,3025.375,2829.375,1074.9,1043.0,1494.8,1837.6,2456.1,2893.4,3052.2,3222.8,3152.4,2997.4,3223.5,2973.7,1070.7777777777778,1064.7777777777778,1573.111111111111,1846.6666666666667,2486.777777777778,2954.0,3111.5555555555557,3195.1111111111113,3194.8888888888887,2973.5555555555557,3183.4444444444443,2909.8888888888887,1068.1666666666667,1086.5,1502.3333333333333,1749.6666666666667,2331.0,2767.5,3057.5,3018.6666666666665,3055.3333333333335,2803.1666666666665,2984.3333333333335,2730.3333333333335
ID_ECJWPE7J6LQG,14.402509,33.265873,1,536.75,695.5,907.75,1174.0,1304.75,1333.0,1440.75,1393.0,1491.75,1501.0,1596.25,1538.25,584.0,697.3333333333334,927.0,1126.6666666666667,1336.6666666666667,1560.3333333333333,1701.3333333333333,1572.6666666666667,1768.3333333333333,1803.6666666666667,1702.0,1516.0,429.5,556.5,804.5,1062.0,1261.0,1295.5,1374.0,1351.0,1466.0,1787.5,1515.5,1355.5,328.75,419.0,623.0,878.875,1008.25,1055.25,1133.0,1073.75,1195.875,1376.25,1320.375,1258.0,321.25,422.1666666666667,632.75,924.0,1038.25,1066.0,1139.9166666666667,1139.8333333333333,1215.4166666666667,1274.5833333333333,1325.0,1293.3333333333333,339.25,418.4166666666667,694.3333333333334,724.4166666666666,1050.6666666666667,1724.1666666666667,1925.0833333333333,2027.6666666666667,1970.25,1873.5833333333333,1437.0,1103.0833333333333,169.5,205.33333333333334,483.0833333333333,316.8333333333333,793.0,2608.6666666666665,3386.3333333333335,3554.3333333333335,3427.75,3349.3333333333335,1480.3333333333333,806.75,176.4,234.6,451.9,336.8,723.0,2322.7,3192.7,3377.4,3354.3,3358.3,1241.7,673.7,489.0,792.0,1143.3333333333333,1576.5555555555557,1941.0,2446.5555555555557,2761.222222222222,3004.4444444444443,3094.3333333333335,3068.222222222222,2102.6666666666665,1358.0,773.8888888888889,1211.2222222222222,1783.7777777777778,2655.222222222222,3011.4444444444443,3176.3333333333335,3361.3333333333335,3660.222222222222,3678.3333333333335,3578.0,3306.6666666666665,2336.6666666666665,502.1666666666667,610.5,822.3333333333334,1125.5,1291.6666666666667,1336.1666666666667,1420.0,1410.6666666666667,1538.6666666666667,1584.3333333333333,1872.8333333333333,1832.6666666666667,570.5,724.0,988.0,1312.5,1470.5,1493.25,1588.0,1584.0,1679.25,1694.75,1865.75,1764.25
ID_Y49NDKK6RL3U,14.346095,33.296685,1,620.0,711.0,950.0,1211.0,1361.5,1409.0,1479.0,1433.0,1520.0,1630.0,1608.0,1383.5,563.0,763.0,974.0,1104.0,1389.0,1740.0,1878.0,1782.0,1977.0,2357.0,1793.0,1467.0,153.0,248.0,696.0,587.0,1095.0,2505.0,2974.0,2724.0,3135.0,3305.0,1903.0,1151.0,328.0,399.75,714.75,612.25,1068.75,2370.0,2840.75,2710.0,2983.75,3178.25,1778.25,1032.5,327.1666666666667,450.0,836.5,954.0,1403.8333333333333,2113.1666666666665,2379.1666666666665,2464.0,2618.6666666666665,2685.6666666666665,2133.1666666666665,1414.6666666666667,511.5,715.3333333333334,1069.1666666666667,1533.3333333333333,1882.0,2188.3333333333335,2392.0,2602.6666666666665,2678.5,2722.5,2589.5,1904.0,528.6666666666666,750.5,1073.8333333333333,1488.3333333333333,1686.1666666666667,1795.5,1927.8333333333333,2045.0,2080.8333333333335,2113.8333333333335,2183.6666666666665,1789.3333333333333,539.4,755.4,1061.8,1458.4,1616.2,1741.2,1841.2,1934.0,1998.8,1993.4,2054.2,1740.6,668.0,882.0,1219.5,1642.0,1782.75,1900.5,2020.5,2156.5,2144.75,2164.25,2160.75,1816.5,648.8,858.4,1178.8,1606.8,1781.2,1884.4,1999.4,2086.4,2122.4,2138.8,2210.6,1904.0,637.2,793.2,1121.2,1498.8,1686.0,1738.4,1836.6,1868.8,1964.6,1984.6,2104.0,1827.0,615.5,766.0,1046.0,1421.0,1603.0,1645.0,1759.0,1765.0,1874.5,1905.5,2048.5,1806.5
ID_MREZYFQFQMAM,14.393796,33.521174,0,790.5,482.5,887.0,961.0,1847.0,2773.0,3231.5,3313.0,3234.5,3266.0,2804.5,2153.5,816.6666666666666,852.6666666666666,1117.6666666666667,1300.6666666666667,1966.6666666666667,2720.0,3109.0,2914.6666666666665,3131.6666666666665,3118.3333333333335,2767.6666666666665,2135.0,576.5,414.5,647.0,746.5,1636.0,2660.0,3066.0,3195.0,2986.0,2998.0,2552.0,1906.5,609.5,537.75,886.75,1046.875,1855.0,2576.875,2829.875,2630.0,2995.875,2957.25,2753.375,2204.625,589.25,477.1666666666667,812.0833333333334,985.8333333333334,1821.4166666666667,2526.3333333333335,2851.5,2674.1666666666665,2885.1666666666665,2949.4166666666665,2736.1666666666665,2190.4166666666665,564.0833333333334,558.5833333333334,904.1666666666666,1171.5,1969.5833333333333,2619.9166666666665,2838.0,2547.8333333333335,2887.0833333333335,3022.5833333333335,2775.1666666666665,2251.75,579.4,654.7,983.6,1267.2,2063.2,2656.5,2836.4,2632.5,2845.4,2998.6,2810.2,2324.5,662.1,680.0,1057.7,1414.2,2272.2,2728.1,2881.3,2751.6,2926.0,3016.5,2977.5,2488.7,821.25,894.25,1353.5,1738.0,2367.375,2878.125,3079.625,2987.25,3125.875,3158.125,3101.25,2653.25,836.1,842.4,1331.6,1589.2,2413.0,3086.9,3307.9,3324.0,3339.7,3385.3,3231.8,2671.0,796.7777777777778,811.6666666666666,1318.2222222222222,1590.2222222222222,2309.222222222222,3009.1111111111113,3170.8888888888887,3150.8888888888887,3247.777777777778,3280.222222222222,3103.6666666666665,2597.0,844.6666666666666,810.6666666666666,1272.0,1529.3333333333333,2250.0,2822.8333333333335,3083.3333333333335,3017.3333333333335,3051.8333333333335,3117.1666666666665,2973.1666666666665,2417.5
ID_QOBMZI6QR6LW,14.460361,33.575522,0,927.5,885.0,1271.0,1617.0,1811.0,2526.0,2902.0,2932.0,2939.0,2773.5,2526.0,2146.0,880.3333333333334,706.0,998.6666666666666,1130.6666666666667,1691.3333333333333,2432.0,2810.0,2844.0,2886.0,2698.6666666666665,2460.6666666666665,2046.0,709.5,554.0,960.5,1117.0,1570.0,2370.0,2689.0,2683.0,2807.0,2588.0,2234.5,1760.5,708.125,474.0,794.75,887.625,1415.0,2261.0,2578.125,2805.5,2675.25,2594.25,2256.75,1824.25,661.1666666666666,499.5,879.0,1094.8333333333333,1427.0833333333333,2201.75,2511.1666666666665,2873.8333333333335,2588.4166666666665,2532.3333333333335,2243.25,1851.6666666666667,645.6666666666666,519.25,864.4166666666666,1049.3333333333333,1369.9166666666667,2132.25,2414.8333333333335,2867.8333333333335,2515.9166666666665,2494.3333333333335,2185.5,1819.5833333333333,606.5833333333334,474.9166666666667,803.25,957.3333333333334,1415.8333333333333,2071.0,2359.4166666666665,2758.75,2457.25,2465.0,2145.8333333333335,1813.0833333333333,660.2,535.5,867.0,1010.1,1541.2,2200.6,2421.4,2793.2,2501.3,2518.6,2316.7,1941.7,820.5,752.25,1138.25,1333.0,1953.375,2458.625,2670.125,2950.5,2708.0,2682.875,2600.375,2297.625,889.6,733.9,1120.6,1300.0,1945.2,2585.1,2776.3,3116.2,2857.3,2826.6,2702.9,2323.3,895.5555555555555,682.7777777777778,1120.4444444444443,1267.7777777777778,1981.111111111111,2607.4444444444443,2801.4444444444443,3070.0,2895.777777777778,2784.5555555555557,2729.5555555555557,2369.777777777778,904.0,887.2,1245.2,1547.6,2015.0,2422.0,2621.2,2806.8,2681.0,2595.2,2603.6,2268.6
ID_9R4WDSJ735R3,14.385801,33.547584,0,1119.0,997.5,1386.5,1497.5,1994.0,2641.75,2822.25,2927.0,2962.5,3372.25,2518.5,2205.25,725.6666666666666,787.6666666666666,1176.0,1280.6666666666667,1821.0,2690.6666666666665,3017.3333333333335,3054.6666666666665,3046.0,3169.6666666666665,2557.3333333333335,2105.3333333333335,520.5,500.0,999.0,1103.0,1805.5,2718.5,2951.5,3141.0,3263.0,2856.0,2444.0,1893.0,542.0,784.75,1219.25,1481.75,1882.875,2545.375,2835.25,2711.25,2953.0,2826.0,2612.25,2264.75,556.9166666666666,846.0,1280.3333333333333,1667.0,2016.8333333333333,2452.1666666666665,2634.6666666666665,2710.8333333333335,2803.4166666666665,2728.75,2785.1666666666665,2421.0,585.3333333333334,874.0833333333334,1347.8333333333333,1745.1666666666667,2110.9166666666665,2404.0,2587.75,2768.6666666666665,2710.25,2577.5833333333335,2833.8333333333335,2530.5,568.75,885.5833333333334,1363.5,1818.8333333333333,2117.5833333333335,2393.6666666666665,2548.9166666666665,2789.1666666666665,2714.1666666666665,2577.9166666666665,2823.4166666666665,2595.5833333333335,639.1,937.1,1405.8,1837.2,2099.6,2387.8,2578.5,2746.6,2710.4,2623.9,2863.6,2638.4,802.125,1080.25,1526.75,1963.0,2200.125,2495.0,2647.875,2836.0,2794.875,2742.75,2948.25,2727.0,829.1,1013.2,1484.6,1908.4,2275.6,2619.1,2785.1,3081.4,2939.9,2832.4,3059.1,2732.7,816.5555555555555,1000.0,1488.4444444444443,1914.2222222222222,2250.1111111111113,2541.222222222222,2761.0,2926.6666666666665,2892.777777777778,2764.5555555555557,3027.0,2681.6666666666665,888.3333333333334,942.1666666666666,1364.6666666666667,1627.0,2097.3333333333335,2481.5,2668.5,2832.0,2795.8333333333335,2622.8333333333335,2782.8333333333335,2452.8333333333335
ID_K0YYOZSANR8S,14.515787,33.172178,1,473.5,532.0,752.5,969.0,1135.5,1176.0,1261.0,1209.0,1337.5,1381.0,1360.0,1232.5,463.0,568.0,867.0,713.0,1182.0,2062.0,2368.0,2580.0,2407.0,2387.0,1656.0,1207.0,484.0,544.0,874.0,646.0,1146.0,2958.0,3565.0,3516.0,3753.0,3673.0,1923.0,1050.0,223.5,355.75,728.75,528.25,1087.5,2691.75,3260.25,3174.5,3481.0,3418.75,1975.0,1066.75,310.8333333333333,427.0,785.1666666666666,839.3333333333334,1436.3333333333333,2211.0,2522.8333333333335,2631.6666666666665,2793.0,2853.1666666666665,2218.5,1397.6666666666667,413.0,605.3333333333334,952.0,1318.5,1725.8333333333333,2155.1666666666665,2399.1666666666665,2616.0,2687.8333333333335,2815.6666666666665,2630.8333333333335,1837.6666666666667,455.0,689.3333333333334,1070.0,1587.6666666666667,1936.8333333333333,2056.5,2259.6666666666665,2407.3333333333335,2510.8333333333335,2595.5,2592.1666666666665,1953.6666666666667,535.4,775.4,1122.4,1608.0,1907.4,1979.2,2151.8,2206.4,2310.8,2339.6,2375.6,1911.4,699.8,935.0,1300.8,1804.0,2068.2,2167.6,2310.4,2347.2,2414.4,2400.2,2457.4,2013.8,705.8,975.0,1379.6,1943.2,2175.8,2272.0,2379.8,2470.0,2529.8,2439.4,2560.6,2131.2,695.25,902.75,1264.25,1768.0,2040.75,2048.0,2190.25,2188.5,2348.75,2261.5,2397.25,2049.0,692.25,835.0,1114.5,1489.5,1667.5,1706.25,1822.5,1791.5,1924.75,1952.75,2028.75,1837.25
ID_KZ5AZ8S0YJH5,14.230392,33.447961,1,656.0,762.0,1044.0,1362.0,1556.0,1560.0,1662.0,1582.0,1722.0,1758.0,1821.0,1702.0,426.0,531.0,672.0,832.0,979.0,1050.0,1151.0,1082.0,1211.0,1410.0,1207.0,1106.0,107.0,257.0,521.0,791.0,965.0,952.0,1065.0,1152.0,1172.0,1389.0,1308.0,1112.0,233.0,332.75,581.75,645.75,953.75,1593.25,1810.75,1805.5,1836.75,1898.25,1450.75,1084.5,108.5,211.16666666666666,486.3333333333333,455.1666666666667,812.1666666666666,2149.1666666666665,2568.5,2711.6666666666665,2611.6666666666665,2890.5,1560.5,1008.8333333333334,92.5,204.0,502.0,398.3333333333333,851.8333333333334,2665.1666666666665,3239.6666666666665,3435.6666666666665,3386.3333333333335,3776.5,1605.0,883.1666666666666,82.16666666666667,195.5,508.0,410.1666666666667,953.0,2672.5,3201.3333333333335,3449.5,3371.0,3640.3333333333335,1563.5,847.1666666666666,288.0,377.2,683.8,752.2,1254.8,2393.4,2773.2,2992.4,3022.0,3031.6,1967.6,1251.6,566.5,762.75,1062.25,1510.0,1753.25,1982.0,2160.75,2274.0,2366.75,2357.75,2444.25,1972.25,597.8,780.8,1068.0,1490.0,1659.0,1757.2,1872.0,1976.0,2013.6,2022.0,2188.8,1938.6,571.0,701.4,978.0,1343.6,1520.6,1568.2,1681.0,1694.8,1786.8,1812.2,1964.4,1785.4,592.5,718.0,970.0,1333.0,1501.0,1546.0,1624.5,1624.0,1702.0,1862.5,1861.5,1783.0
ID_NGNMAFMTAS3K,14.356066,33.25105,1,567.0,674.0,906.0,1214.0,1344.0,1357.0,1429.0,1404.0,1469.0,1769.0,1536.0,1447.0,640.0,715.0,956.5,1212.0,1383.5,1423.0,1508.5,1461.0,1569.0,1677.5,1579.5,1439.5,301.0,474.0,784.0,1104.0,1286.0,1312.0,1342.0,1331.0,1455.0,1907.0,1534.0,1344.0,409.0,512.0,752.0,1008.25,1187.25,1276.75,1361.25,1338.5,1426.75,1729.75,1453.25,1334.25,276.6666666666667,338.0,540.8333333333334,826.5,952.0,947.8333333333334,1005.5,976.8333333333334,1055.3333333333333,1245.8333333333333,1139.8333333333333,1083.3333333333333,313.0,376.6666666666667,664.5,664.3333333333334,1012.8333333333334,1682.1666666666667,1888.8333333333333,1957.3333333333333,1922.1666666666667,2040.0,1315.8333333333333,980.8333333333334,182.0,200.66666666666666,497.3333333333333,302.1666666666667,809.6666666666666,2652.6666666666665,3378.5,3652.3333333333335,3434.1666666666665,3411.8333333333335,1393.8333333333333,733.8333333333334,211.8,263.4,495.6,402.4,797.8,2256.6,2951.0,3184.4,3124.6,3114.8,1203.0,669.8,482.0,697.25,1073.5,1353.0,1736.5,2388.75,2724.25,2946.0,2953.25,2950.75,1806.75,1173.25,571.0,786.6,1125.0,1647.6,1873.0,1988.6,2131.6,2285.4,2345.0,2449.0,2419.2,1952.4,515.4,622.8,844.0,1112.8,1283.8,1318.2,1393.8,1384.8,1477.6,1699.8,1761.2,1719.6,526.0,687.5,903.0,1247.0,1391.5,1417.5,1493.0,1480.0,1565.5,1734.0,1733.5,1679.5
ID_G8B9EYAGJ17V,14.155383,33.269915,0,787.0,824.0,1212.0,1650.0,1973.0,2163.0,2447.0,2426.0,2789.0,2841.0,3971.0,3192.0,792.0,907.5,1245.0,1552.0,1834.0,2041.0,2333.5,2336.0,2653.0,2729.5,3591.0,2974.5,452.0,472.0,883.0,1344.0,1656.0,1909.0,2034.0,2090.0,2419.0,2592.0,3187.0,2346.0,640.25,758.25,1155.5,1578.5,1777.75,1999.5,2213.25,2400.0,2564.0,2794.25,3767.25,3103.0,609.5,696.5,1121.6666666666667,1569.3333333333333,1796.5,1983.0,2263.1666666666665,2475.6666666666665,2651.8333333333335,2772.0,3910.5,3179.5,614.1666666666666,749.0,1175.3333333333333,1616.6666666666667,1880.6666666666667,2065.0,2320.6666666666665,2502.3333333333335,2707.3333333333335,2761.5,3927.6666666666665,3204.0,595.5,751.3333333333334,1143.0,1656.3333333333333,1836.1666666666667,2003.5,2255.5,2489.0,2627.8333333333335,2719.0,3811.8333333333335,3151.6666666666665,635.2,780.6,1190.0,1689.2,1902.4,2073.2,2333.4,2482.4,2717.0,2763.0,3944.2,3290.0,755.25,937.5,1352.5,1861.5,2054.0,2208.25,2447.0,2641.5,2794.0,2877.0,3964.5,3374.75,800.8,981.8,1420.0,1978.8,2270.6,2415.8,2634.8,2784.0,2994.4,2991.0,4239.6,3603.2,797.6,1000.6,1419.2,1967.6,2341.6,2488.8,2704.8,2718.4,3018.4,2965.8,4184.2,3545.6,789.0,996.0,1410.0,1982.0,2370.5,2504.5,2713.5,2781.0,3085.0,2980.5,4227.5,3564.5
