ID,Target
ID_LNN7BFCVEZKA,0
ID_ZMB4I2ZXYE4X,1
ID_OFRXD08BLP3X,0
ID_IQ4IS9AL13PV,1
ID_X7ZL15DE59SA,0
ID_NP353BLDH5VB,0
ID_P68IT5PQBWN4,0
ID_7H8Z9T4K19RP,0
ID_SXUS5SG4PCKK,0
ID_LGYKT204VNP1,1
ID_AXLV8Y8C2UU3,1
ID_PZIN0M7SYCYF,1
ID_Y470KJSRB3J7,0
ID_X4KZ1ZYUY3IB,1
ID_QVQFOAF6UGOW,1
ID_WCRY9ABPEEDF,1
ID_GJNUFJ3T2RZY,1
ID_K723KVKYCA4J,1
ID_NDLIHPT9Q63A,1
ID_OHM4IIX56JNR,0
ID_1S1XKME9RR8P,0
ID_TG5AYD5MVNIG,0
ID_3ZHGWM3LWMH4,1
ID_0K7DKM1JTEUX,1
ID_J6ZJOL3IWI7V,1
ID_VKSEQL8237EH,0
ID_RCNIMON6C8OP,0
ID_ZGYBHGTF7BHL,1
ID_95RBOCGVYJFD,0
ID_J8AYIZEM17TR,1
ID_H9WCHSXQ55T7,0
ID_9X0JAG95BZ4V,0
ID_E6FNDY8KCGL0,1
ID_GT0IYXIHWBR8,1
ID_F9PTFR9496N6,1
ID_A0V1HLL3OLGV,1
ID_9QJLEBU3CHG2,1
ID_7ZOMQ1BDBF32,0
ID_U90JJ0F5IE2R,1
ID_G56VQIYP21UU,1
ID_VYYDN7BWT77F,1
ID_HMJ3ZJSTGQU4,0
ID_5HFMP7OVPTDY,0
ID_9IDPXWOQC9DX,0
ID_KD34GW08YSD9,1
ID_ZVNUI9TKK5RO,1
ID_P72MIGLI5TTW,1
ID_D9SYMA30VCJD,1
ID_TXMXSN5XOGPI,0
ID_4HGF6JDM53R9,1
ID_EXWAYC6PR7N9,1
ID_BIWRAS3GRFR4,0
ID_FAP7TWG0YMB3,1
ID_59HVM5DLXFZU,0
ID_USLGLHRJP2SL,0
ID_ZCB0WS6ZBJMD,1
ID_NKFW8BGJHX1H,1
ID_VELX6KMKOYC6,1
ID_HAGW3T3SHLOQ,0
ID_3UD7DDNAG5LT,1
ID_MUBWCCBWRA7N,0
ID_TMAX2JFAQW8S,1
ID_CRT06Q8FNZM4,1
ID_AM8GK5BYCG37,1
ID_M0UCUBP4KML3,1
ID_CO2KXJ3FXDV6,1
ID_2Z4Y939OF5IG,1
ID_PIQ78I7Y7ZQ1,1
ID_SPO9GU28SB19,1
ID_QPN8VB90JCRN,0
ID_Q0RC94HNN4OG,0
ID_RWSKFSAACIY1,0
ID_IXZMNFU78YP7,0
ID_BSJEPP7FVWJA,0
ID_5YMAK8GS19KY,0
ID_A628EY0KVLB6,1
ID_GI5I2329O46H,1
ID_7GMW9RK7TGIR,1
ID_DQ2PMTFS1GSQ,1
ID_QRO4BP4LU2HG,1
ID_FIFOMB2J9SV0,0
ID_NLD2EDF2C07L,1
ID_02FKWSCXV0JH,1
ID_X6NB6XK0R8CJ,1
ID_8YBYVQ6AFKLJ,1
ID_6K1GEKAD3PSA,0
ID_WZI4PPCXT0T5,0
ID_F10KFEG9UHZ3,0
ID_BZFR5BSF8G1G,1
ID_01XU5U4GSN9N,0
ID_L2MZE3O49H39,0
ID_Z0TLCPYWFKRI,1
ID_AOLV70UW85W9,0
ID_TR7UUGXPPP5T,1
ID_LDYWBWCT05ED,1
ID_LYYP6EHMST84,1
ID_6FUVGW0COA03,0
ID_SOUWWLVBOW3N,0
ID_5B1K689BNA1J,1
ID_3HQ7H2CBEW07,1
ID_E32AN010T6GT,0
ID_GEBGCUFMFJ2F,1
ID_UKTB30G3Z9JX,1
ID_NGRNX0RH7BC7,1
ID_8B3N2DXMZONG,1
ID_UAVR4FBF0YCP,0
ID_0AV18OMRA26U,1
ID_37UFWYZBWE6Z,1
ID_BO5RZ1D5D7RU,0
ID_5P8D8KE1YCLH,0
ID_SOFBAKBLI0QJ,1
ID_KINTBU66QSW0,1
ID_3N7ONE6VITUZ,1
ID_OV8SYTD0UM4R,0
ID_OFYHI2ROHMWT,0
ID_UP8VDMAPSRXO,0
ID_4F1OOPXEYZD0,1
ID_MJHTZM7C6I5U,1
ID_B1AFAIWR4MGZ,0
ID_3EQLPVHQ2K44,0
ID_0TI5KKL5OJ19,0
ID_0GL1S5KRK5N6,1
ID_VPZTDUP8VNK9,1
ID_FPMYOZ0WZDY6,1
ID_RNZV2KSU9WUF,0
ID_H14UER0L3D1S,0
ID_Y20L5W9ARBLB,0
ID_ZGICGZJ8KB8F,0
ID_QDDEPAM4AAS7,1
ID_ZZOSGGAB4PUY,0
ID_9CL5EE0GEOKN,1
ID_FEPLY76FUG34,1
ID_M70HKQ5ZWTPE,1
ID_21513GVJGL35,1
ID_HWR6SRK1MFMF,0
ID_O6W4INSV5H63,1
