ID,Target
ID_SOYSG7W04UH3,1
ID_EAP7EXXV8ZDE,1
ID_QPRX1TUQVGHU,0
ID_C78YQ32G1KO9,0
ID_M5X39UIEM64N,1
ID_2HPT0HO3P0Z4,1
ID_BLHV8DVS8GC2,0
ID_EBBTPEIN7I3D,1
ID_ZU9QNLV29B0A,0
ID_3QOC3NOXCFH0,1
ID_5NL7YS467E51,1
ID_H1GKDJVOC63V,0
ID_VXC7EWN85U9P,0
ID_DE2KQ683CO3B,1
ID_RHU8S0CBCAYB,0
ID_8MRMK2JOLE9Z,1
ID_3E0VD9LA0AML,0
ID_DJ2L1QNZMS8T,0
ID_RER4JZ8DB39X,0
ID_SRCP9RV99IL1,1
ID_5255UE4XP0AN,1
ID_ZETF5126R068,1
ID_RTQFIOSCN1AQ,1
ID_9P7MCEMGEHGZ,0
ID_D366GXR24WOQ,1
ID_E6MJUQO1LYI1,0
ID_PDWJKMRZ7FXA,0
ID_1ZAV8CNO2GVD,0
ID_L01SCAN26U59,1
ID_MEFBJHK7E4C8,0
ID_9GR6T2N801OG,1
ID_WJMM7SAZKW4W,0
ID_TF98UI5OQUOP,0
ID_YZY5LTJ684KR,1
ID_X2SGIHSDEPJF,0
ID_01NLOAIAX2Q8,1
ID_FPKUAWAAA7UT,1
ID_E4K9ROZ307KS,0
ID_SR77D1233I0B,1
ID_OJV0P2FHTJN9,1
ID_SMFOORFFQKVK,0
ID_9Y92J10548P8,0
ID_LDEIMOIJE1CC,1
ID_6B8L0H29501V,1
ID_G01VUH0TZAIG,1
ID_LTKSBG1ILQXT,1
ID_0JIXPZFPB61O,1
ID_KTC5YIIHWPT6,0
ID_P4K715B5ZM4T,1
ID_IQZD0U29UO3M,1
ID_5QX0O59I6Q2W,0
ID_77LU18BZ5T8B,0
ID_YXYYPBADIGL2,0
ID_TLQ3255SZYTT,0
ID_MABU7DMEMAPL,1
ID_5K8Q4CCF3J2V,0
ID_7IRLNPIFYDB7,1
ID_NMHL16LOVRTP,1
ID_HHN4QESGQXCB,1
ID_HJ8C170RKR63,1
ID_3ML6K6GE6P2G,0
ID_3E4JJ6HQZVOV,0
ID_W40U1164CFWM,0
ID_CI63QITFAF3G,1
ID_UW9L8N6QNJLQ,1
ID_TO2W3W6RIN9M,0
ID_T5FYJ7YRENZJ,1
ID_ZIS78TQBS4IN,0
ID_4G3JGP9G5RI8,1
ID_XXMXSTLWZALY,1
ID_3E19T99EOHDD,1
ID_BKAF2DPNVWAM,1
ID_GI5OCXPM0JMK,0
ID_89VKQAECGN2N,0
ID_QWQKGVHYPFYP,1
ID_GPYC10LT01IJ,1
ID_EYCNCNGEWT93,1
ID_QC4X3EJ04FMC,1
ID_NLFDOMHVOM3O,0
ID_KZ2QZRMVBRNG,0
ID_B3C10IAMI368,0
ID_HAI16SHOY07O,1
ID_YRLQSEBRBDI1,1
ID_ZYBJQKUP2Y70,0
ID_J9SE2GESCWSB,0
ID_VBFK0U41MOBP,0
ID_S1A4HVZ6VPU5,0
ID_GHX04TMXW1WB,1
ID_4SGL74WKCBV0,0
ID_0K5XTBV5G2Y6,1
ID_BGPCJP6TDL01,0
ID_K0TPJBIE2FYN,1
ID_X8FU72WFFNLT,0
ID_S84JRJDESM9L,0
ID_I0S4JA9TR538,0
ID_OS6NTGKYG3PP,0
ID_JT2PPEHZ4Y6Y,0
ID_S0G315BWQS7Z,0
ID_NISSO96XY767,0
ID_3NVGGLMITOOW,1
ID_9E3W1PRIO95M,1
ID_GVUOJQGVXP0R,1
ID_3R3Z61J9WEFB,1
ID_33T8VKR0IZGA,1
ID_6EEQPJ8U9NUI,1
ID_NRX27N6QJFR6,1
ID_COTIT37UB1A5,0
ID_OPHPFHTV3Z9M,0
ID_POBIJJXP9OW3,0
ID_SN4JDE8BLKEH,0
ID_TCAFQ4JCU2UU,0
ID_I185EX6SZNH4,0
ID_B0UI1M7T9L3M,0
ID_23DMYTB0QNKZ,0
ID_FPDZH2CC6IV9,0
